Accounts of Chemical Research	Acc. Chem. Res.	Acc Chem Res
Soviet Physics-Crystallography (translation of Kristallografiya)	Sov. Phys. Crystallogr.	Sov Phys Crystallogr
Soviet Physics-Doklady (translation of Doklady Akademii Nauk SSSR)	Sov. Phys. Dokl.	Sov Phys Dokl
Soviet Physics-JETP (translation of Zhurnal Eksperimental`noi i Teoretischeskoi Fiziki)	Sov. Phys. JETP	Sov Phys JETP
Soviet Physics Journal (translation of Izvestiya Vysshikh Uchebnykh Zavedenii, Fizika)	Sov. Phys. J.	Sov Phys J
Soviet Physics-Semiconductors (translation of Fizika i Tekhnika Poluprovodnikov)	Sov. Phys. Semicond.	Sov Phys Semicond
Soviet Physics—Solid State [translation of Fizika Tverdogo Tela (Leningrad)]	Sov. Phys. Solid State	Sov Phys Solid State
Soviet Physics-Technical Physics (translation of Zhurnal Tekhnicheskoi Fiziki)	Sov. Phys. Tech. Phys.	Sov Phys Tech Phys
Soviet Physics-Uspekhi (translation of Uspekhi Fizicheskikh Nauk)	Sov. Phys. Usp.	Sov Phys Usp
Soviet Radiophysics (translation of Izvestiya Vysshikh Uchebnykh Zavedenii, Radiofizika)	Sov. Radiophys.	Sov Radiophys
Soviet Technical Physics Letters (translation of Pis’ma v Zhurnal Tekhnicheskoi Fiziki)	Sov. Tech. Phys. Lett.	Sov Tech Phys Lett
Spectrochimica Acta	Spectrochim. Acta	Spectrochim Acta
Spectrochimica Acta, Part A: Molecular Spectroscopy	Spectrochim. Acta, Part A	Spectrochim Acta, Part A
Spectrochimica Acta, Part B: Atomic Spectroscopy	Spectrochim. Acta, Part B	Spectrochim Acta, Part B
Superconductor Science and Technology	Supercon. Sci. Technol.	Supercon Sci Technol
Surface Science	Surf Sci.	Surf Sci
Tectonics	Tectonics	Tectonics
Teplotizika Vysokikh Temperatur [High Temperature (USSR)]	Teplofiz. Vys. Temp. [High Temp.(USSR)]	Teplofiz Vys Temp [High Temp(USSR)]
Tetrahedron	Tetrahcdron	Tetrahcdron
Theoretica Chimica Acta	Theor. Chim. Acta	Theor Chim Acta
Thin Solid Films	Thin Solid Films	Thin Solid Films
Transactions ofthe American Crystallographic Society	Trans. Am. Cryst. Soc.	Trans Am Cryst Soc
Transactions of the American Geophysical Union	Trans. Am. Geophys. Union	Trans Am Geophys Union
Transactions ofthe American Institute of Mining, Metallurgical and Petroleum Engineers	Trans. Am. Inst. Min. Metall. Pet. Eng.	Trans Am Inst Min Metall Pet Eng
Transactions ofthe American Nuclear Society	Trans. Am. Nucl. Soc.	Trans Am Nucl Soc
Transactions ofthe American Society for Metals	Trans. Am. Soc. Met.	Trans Am Soc Met
Transactions ofthe American Society of Mechanical Engineers	Trans. Am. Soc. Mech. Eng.	Trans Am Soc Mech Eng
Transactions of the British Ceramic Society	Trans. Br. Ceramic Society	Trans Br Ceramic Society
Transactions of the Faraday Society	Trans. Faraday Society	Trans Faraday Society
Transactions ofthe Metallurgical Society of AIME	Trans. Metall. Soc. AIME	Trans Metall Soc AIME
Transactions of the Society of Rheology	Trans. Soc. Rheol.	Trans Soc Rheol
Ukrainian Physics Journal [translation of Ukrainskii Fizicheskii Zhurnal (Russian Edition)]	Ukr. Phys. J.	Ukr Phys J
Ukrainian Fizicheskii Zhurnal (Russian Edition) [Ukrainian Physics Journal]	Ukr. Fiz. Zh. (Russ. Ed.) [Ukr. Phys. J.]	Ukr Fiz Zh (Russ Ed) [Ukr Phys J]
Ultrasonics	Ultrasonics	Ultrasonics
Uspekhi Fizicheskikh Nauk [Soviet Physics-Uspekhi]	Usp. Fiz. Nauk [Sov. Phys. Usp.]	Usp Fiz Nauk [Sov Phys Usp]
Wuli Xuebao (Acta Physica Sinica) [Chinese Journal of Physics]	Wuli Xuebao (Acta Phys. Sin.) [Chin. J. Phys.]	Wuli Xuebao (Acta Phys Sin) [Chin J Phys]
Yadernaya Fizika [Soviet Journal of Nuclear Physics]	Yad. Fiz. [Sov. J. Nucl. Phys.]	Yad Fiz [Sov J Nucl Phys]
Zeitschrift fur Analytische Chemie	Z. Anal. Chem.	Z Anal Chem
Zeitschrift fur Angewandte Physik	Z. Angew. Phys.	Z Angew Phys
Zeitschrift fiir Anorganische und Allgemeine Chemie	Z. Anorg. Allg. Chem.	Z Anorg Allg Chem
Zeitschrift fiir Astrophysik	Z. Astrophys.	Z Astrophys
Zeitschrift fiir Elektrochemie	Z. Elektrochem.	Z Elektrochem
Zeitschrift fur Kristallographie, Kristallgeometrie, Krystallphysik, Kristallchemie	Z. Kristallogr. Kristallgeom. Krystallphys. Kristallchem	Z Kristallogr Kristallgeom Krystallphys Kristallchem
Zeitschrift fur Metallkunde	Z. Metallk.	Z Metallk
Zeitschrift fur Naturforschung	Z. Naturforsch.	Z Naturforsch
Zeitschrift fur Naturforschung, Teil A Physik, Physikalische Chemie, Kosmophysik	Z. Naturforsch. Tcil A	Z Naturforsch Tcil A
Zeitschrift fur Physik	Z. Phys.	Z Phys
Zeitschrift fiir Physikalische Chemie (Frankfurt am Main)	Z. Phys. Chem. (Frankfurt am Main)	Z Phys Chem (Frankfurt am Main)
Zeitschrift fur Physikalische Chemie (Leipzig)	Z. Phys. Chem. (Leipzig)	Z Phys Chem (Leipzig)
Zhurnal Eksperimentafnoi i Teoreticheskoi Fiziki [Soviet Physics—JETP]	Zh. Eksp. Teor. Fiz. [Sov. Phys. JETP]	Zh Eksp Teor Fiz [Sov Phys JETP]
Zhurnal Fizicheskoi Khimii [Russian Journal of Physical Chemistry]	Zh. Fiz. Khim. [Russ. J. Phys. Chem.]	Zh Fiz Khim [Russ J Phys Chem]
Zhurnal Prikladnoi Spektroskopii [Journal ofApplied Spectroscopy (USSR)]	Zh. Prikl. Spektrosk. [J. Appl. Spectrosc. (USSR)]	Zh Prikl Spektrosk [J Appl Spectrosc (USSR)]
Zhurnal Tekhnicheskoi Fiziki [Soviet Physics-Technical Physics]	Zh. Tekh. Fiz. [Sov. Phys. Tech. Phys.]	Zh Tekh Fiz [Sov Phys Tech Phys]
