Accademie e Biblioteche d'Italia	ABI
Encyclia: The Journal of the Utah Academy of Sciences, Arts, and Letters	Encyclia
English Dance and Song	EDS
English in Africa	EinA
The English Journal	EJ
English Language Notes	ELN
English Linguistics: Journal of the English Linguistic Society of Japan	EngLing
English Literary Renaissance	ELR
English Literary Studies Monograph Series	ELS
English Literature and Language	ELLS
English Literature in Transition (1880-1920)	ELT
English Manuscript Studies 1100-1700	EMS
English Record	EngR
English Studies: A Journal of English Language and Literature	ES
English Studies in Africa: A Journal of the Humanities	ESA
English Studies in Canada	ESC
English: The Journal of the English Association	English
English Today: The International Review of the English Language	EnT
English World-Wide: A Journal of Varieties of English	EWW
Envoi: A Review Journal of Medieval Literature	Envoi
Eos.: Commentarii Societatis Philologae Polonorum	Eos.
Epeirotike Hestia	EpH
Epeteris Hetaireias Byzantinon Spoudon	EHBS
Epeteris tou Kentrou Epistemonikon Ereunon Kyprou	EKEEK
Epeteris tou Kentrou Ereunes tes Hellenikes Laographias	EKEHL
Epistemonike Epeterida Philosophikes Scholes Aristoteleiou Panepistemiou Thessalonikes	EEPSAPT
Epitheorese Logou kai Technes	ELkT
Epos: Revista de Filologia	Epos
Equivalences: Revue de l'Institut Supérieur de Traduction et d'Interprètes de Bruxelles	Equivalences
Eranos: Acta Philologica Suecana	Eranos
Escritura: Revista de Teoría y Crítica Literarias	Escritura
Esperanto	Esperanto
Esperienze Letterarie: Revista Trimestrale di Critica e Cultura	ELet
L'Espirit Créateur	ECr
Esprit	Esprit
ESQ: A Journal of the American Renaissance	ESQ
Essays and Studies	E&S
Essays in Arts and Sciences	EAS
Essays in Criticism: A Quarterly Journal of Literary Criticism	EIC
Essays in French Literature	EFL
Essays in Literature	ELWIU
Essays in Theatre/Etudes Théâtrales	EiTET
Essays on Canadian Writing	ECW
Estreno: Cuadernos del Teatro Español Contemporáneo	Estreno
Estudios de Asia y Africa	EOMC
Estudios de Cultura Maya: Publicación Periódica del Centro de Estudios Mayas	ECM
Estudios de Cultura Náhuatl	ECN
Estudios de Lingüística	EdLing
Estudios de Lingüística Aplicada	EDLA
Estudos Anglo-Americanos	EAA
ETC.: A Review of General Semantics	ETC.
Ethnographia: A Magyar Néprajzi Társaság Folyóirata	Ethnographia
Ethnologia Europaea	EthnoE
Ethnologia Scandinavica: A Journal for Nordic Ethnology	EthSc
Ethnologia Slavica	EthS
Ethnologie Française: Revue Trimestrielle de la Société d'Ethnologie Française	EthnoF
Ethnology: An International Journal of Cultural and Social Anthropology	Ethnology
Ethnomusicology: Journal of the Society for Ethnomusicology	Ethnomusicology
Ethology	Ethology
Etudes	Etudes
Etudes Anglaises: Grande-Bretagne, Etats-Unis	EA
Les Etudes Balkaniques Tchécoslovaques	EBT
Les Etudes Classiques	ECl
Etudes Créoles	EtCr
Etudes de Linguistique Appliquée	ELA
Etudes Françaises	EF
Etudes Germaniques	EG
Etudes Germano-Africaines: Revue Annuelle der Germanistique Africaine/Jahresschrift für Afrikanische Germanistik/Annual Review of German Studies in Africa	EGA
Etudes Irlandaises: Revue Française d'Histoire, Civilisation et Littérature de l'Irelande	EI
Etudes Littéraires	ELit
Etudes Philosophiques	EP
Etudes Romanes de Brno	ERBr
The Eugene O'Neill Review	EONR
Euphorion: Zeitschrift für Literaturgeschichte	Euphorion
Europe: Revue Littéraire Mensuelle	Europe
European Journal of Disorders of Communication	EJDC
European Joyce Studies	EJS
European Romantic Review	ERR
European Studies Journal	ESJ
Eutopias: Teorías/Historia/Discurso	Eutopias
Evelyn Waugh Newsletter and Studies	EWNS
Exemplaria: A Journal of Theory in Medieval and Renaissance Studies	Exemplaria
Exeter Linguistic Studies	ELSt
Explicación de Textos Literarios	ExTL
Explicator	Expl
Explorations in Renaissance Culture	EIRC
Extrapolation: A Journal of Science Fiction and Fantasy	Extrapolation
Fachsprache: International Journal of LSP	Fachsprache
Fantasy Commentator	FantCo
Farhang-e Iran Zamin: Revue des Etudes Iranologiques	FIZ
Fataburen: Nordiska Museets och Skansens Årsbok	Fataburen
The Faulkner Journal	FJ
Faulkner Studies	FaulkSt
Faux Titre: Etudes de Langue et Littérature Françaises	FauxT
Feminaria	Feminaria
Feminist Studies	FSt
Field: Contemporary Poetry and Poetics	Field
Film Criticism	FilmC
Film Quarterly	FilmQ
Filología	Filología
Filológiai Közlöny	FK
Finsk Tidskrift	FT
First Language	FirstL
The Flannery O'Connor Bulletin	FCB
Focus on Robert Graves and His Contemporaries	FRG&C
Folia Linguistica: Acta Societatis Linguisticae Europaeae	FoLi
Folia Orientalia	FoliaO
Folia Phoniatrica: International Journal of Phoniatrics, Speech Therapy and Communication Pathology	FPhon
Folk Life: A Journal of Ethnological Studies	FoL
Folk Music Journal	FMJ
Folk og Kultur: Årbog for Dansk Etnologi og Folkemindevidenskab	FoK
Folklife Center News	FCN
Folklore	Folklore
Folklore: English Monthly Devoted to the Cause of Indian Folklore Society	FolkloreC
The Folklore Historian: Journal of the Folklore and History Section of the American Folklore Society	FolkH
Folklore Suisse/Folclore Svizzero: Bulletin de la Société Suisse des Traditions Populaires/Bolletino della Società Svizzera per le Tradizioni Populari	FolkS
Fontane Blätter	FB
Foreign Language Teaching and Research: A Quarterly of Foreign Languages and Cultures	FLTR
Foreign Literatures	FLits
Forschungen zur Geschichte der Älteren Deutschen Literatur	FGADL
Forschungen zur Geschichte Oberösterreiches	FGO
Forum	ForumZ
Forum: A Ukrainian Review	ForumS
Forum der Letteren: Tijdschrift voor Taal- en Letterkunde	FdL
Forum for Modern Language Studies	FMLS
Forum Homosexualität und Literatur	ForumHL
Forum Italicum	FI
Forum Linguisticum (Lake Bluff, Illinois)	ForLing
Foundation: The Review of Science Fiction	Foundation
Foxfire	Foxfire
Francographies: Bulletin de la Société des Professeurs Français et Francophones d'Amérique	Francographies
Frankfurter Beiträge zur Germanistik	FBG
Französisch Heute	FrH
Freiburger Zeitschrift für Philosophie und Theologie	FZPT
French Forum	FrF
French Literature Series	FLS
The French Review: Journal of the American Association of Teachers of French	FR
French Studies: A Quarterly Review	FS
French Studies Bulletin: A Quarterly Supplement	FSB
French Studies in Southern Africa	FSSA
Fróðskaparrit: Annales Societatis Scientiarum Faeroensis	Fróðskaparrit
Frühmittelalterliche Studien: Jahrbuch des Instituts für Frühmittelalterforschung der Universität Münster	FMAS
Fu Jen Studies: Literature & Linguistics	FJS
Gai Saber: Revista de l'Escòla Occitana	GaiS
Gardar: Årsbok för Samfundet Sverige-Island i Lund-Malmö	Gardar
Garland Reference Library of the Humanities	GRLH
Genders	Genders
General Linguistics	GL
Gengo Kenkyu: Journal of the Linguistic Society of Japan	GK
Genre	Genre
George Eliot-George Henry Lewes Studies	GEGHLS
The George Eliot Review: Journal of the George Eliot Fellowship	GER
George Herbert Journal	GHJ
The Georgetown Journal of Languages and Linguistics	GJLL
The Georgia Review	GaR
German-Canadian Yearbook/Deutschkanadisches Jahrbuch	GCY
German Life and Letters	GL&L
The German Quarterly	GQ
German Studies Review	GerSR
Germanic Notes and Reviews	GNR
Germanic Review	GR
Germanisch-Romanische Monatsschrift	GRM
Germanistik: Internationales Referatenorgan mit Bibliographischen Hinweisen	Germanistik
Germanistische Abhandlungen	GA
Germanistische Mitteilungen: Zeitschrift für Deutsche Sprache, Literatur und Kultur in Wissenschaft und Praxis	GMit
The Gettysburg Review	GettR
Gimtoji Kalba	GKa
Giornale Italiano di Filologia	GIF
Giornale Storico della Letteratura Italiana	GSLI
Glotta: Organo de Difusión Lingüística	GlottaC
Glotta: Zeitschrift für Griechische und Lateinische Sprache	Glotta
Glottodidactica: An International Journal of Applied Linguistics	Glottodidactica
Glyph Textual Studies	GlyphT
Gnomon: Kritische Zeitschrift für die Gesamte Klassische Altertumswissenschaft	Gnomon
Godisnjak Centar za Balkanoloska Ispitivanja	GCBI
Goethe-Jahrbuch	Goethe
Goethe Yearbook: Publications of the Goethe Society of North America	GSNA
Gothenburg Studies in English	GothSE
Grand Street	GrandS
Grani: Zhurnal Literatury, Iskusstva, Nauki i Obshchestvenno-Politicheskoi Mysli	Grani
Gratia: Bamberger Schriften zur Renaissanceforschung	Gratia
Grazer Beiträge: Zeitschrift für die Klassische Altertumswissenschaft	GB
Great Plains Quarterly	GPQ
Grial: Revista Galega de Cultura	Grial
Grundtvig-Studier	GStud
Gutenberg-Jahrbuch	GJ
Gymnasium: Zeitschrift für Kultur der Antike und Humanistische Bildung	Gymnasium
Halcyon: A Journal of the Humanities	Halcyon
Hamlet Studies: An International Journal of Research on The Tragedie of Hamlet, Prince of Denmarke	HSt
Harvard Journal of Asiatic Studies	HJAS
Harvard Library Bulletin	HLB
Harvard Studies in Romance Languages	HSRL
Harvard Theological Review	HTR
Harvard Ukrainian Studies	HUS
Hebbel-Janrbuch	HJb
Hebrew Annual Review	HAR
Hebrew Linguistics: A Journal for Hebrew Descriptive, Computational, and Applied Linguistics	HCompL
Hebrew Studies: A Journal Devoted to Hebrew Language and Literature	HebSt
Hebrew University Studies in Literature and the Arts	HUSL
Hefte für Ostasiatische Literatur	HOL
Heidelberger Forschungen	HF
Heine Jahrbuch	HeineJ
Helikon: Irodalomtudányi Szemle	HelikonI
Hellenika	Hellenika
Hellenika: Philologikon, Historikon kai Laographikon Periodikon Syngramma	HellenikaS
The Hemingway Review	HN
The Henry James Review	HJR
Hermes: Zeitschrift für Klassische Philologie	Hermes
High Plains Literary Review	HPLR
Hispamerica: Revista de Literatura	Hispam
Hispania: A Journal Devoted to the Interests of the Teaching of Spanish and Portuguese	Hispania
Hispanic Issues	HispIss
Hispanic Journal	HisJ
Hispanic Review	HR
Hispanófila	Hispano
Historiographia Linguistica: International Journal for the History of the Language Sciences/Revue Internationale pour l'Histoire des Sciences du Langage/Internationale Zeitschrift für die Geschichte der Sprachwissenschaften	HL
Historisk Tidskrift	HT
Historiska och Litteraturhistoriska Studier	HLS
History of European Ideas	HEI
Hitotsubashi Journal of Arts and Sciences	HJA&S
The Hollins Critic	HC
L'Homme: Revue Française d'Anthropologie	Homme
The Hopkins Quarterly	HQ
Horizontes: Revista de la Universidad Católica de Puerto Rico	Horizontes
The Hudson Review	HudR
Human Development	HD
Human Studies: A Journal for Philosophy and the Social Sciences	HumanS
Humanistica Lovaniensia: Journal of Neo-Latin Studies	HumLov
Humanitas: Rivista bimestrale di Cultura	HumB
Humanities in the South: Newsletter of the Southern Humanities Council	HS
Humor: International Journal of Humor Research	Humor
The Hungarian P.E.N./Le P.E.N. Hongrois	HPEN
The Hungarian Quarterly	HungQ
Hungarian Studies in English	HSE
Hungarian Studies Review	HSR
Huntington Library Quarterly: A Journal for the History and Interpretation of English and American Civilization	HLQ
Hymnologiske Meddelelser: Tidsskrift om Salmer	HymnM
IBLA: Revue de l'Institut des Belles Lettres Arabes	IBLA
ICarbS	ICarbS
Il Lettore di Provincia	LdProv
Il Pensiero Politico: Rivista di Storia delle Idee Politiche e Sociali	PPol
Il Portico: Biblioteca di Lettere e Arti	Portico
Il Veltro: Rivista della Civiltà Italiana	Veltro
Il Verri: Rivista di Letteratura	Verri
Ilha do Desterro: A Journal of Language and Literature	IdD
Illinois Historical Journal	JISHS
Incontri Linguistici	InLi
The Independent Shavian	ISh
Index on Censorship	IonC
Indian Horizons	IndH
Indian Journal of Applied Linguistics	IJOAL
Indian Linguistics: Journal of the Linguistic Society of India	IndLing
The Indian Literary Review: A Tri-Quarterly of Indian Literature	ILR
Indian Literature	IndL
The Indian P.E.N.	IPEN
Indo-Iranian Journal	IIJ
Indogermanische Forschungen: Zeitschrift für Indogermanistik und Allgemeine Sprachwissenschaft	IF
Indonesia	Indonesia
Infant Behavior and Development: An International and Interdisciplinary Journal	IBD
L'Information Grammaticale	IG
L'Information Littéraire: Revue Paraissant Cinq Fois par An	IL
Inklings: Jahrbuch für Literatur und Ästhetik	Inklings
Inmun Kwahak: The Journal of Humanities	IKw
Inostrannye Iazyki v Shkole	IJS
Inozemna Filolohiia	InozF
Institute of African Studies, Occasional Publications	IASOP
Insula: Revista de Letras y Ciencias Humanas	Insula
International Fiction Review	IFR
International Folklore Review: Folklore Studies from Overseas	IFRev
International Journal of American Linguistics	IJAL
International Journal of Dravidian Linguistics	IJDL
International Journal of Lexicography	IJLex
International Journal of Middle East Studies	IJMES
International Journal of Slavic Linguistics and Poetics	IJSLP
International Journal of the Sociology of Language	IJSL
International Journal of Translation	IJT
International Review of Applied Linguistics in Language Teaching	IRAL
International Social Science Journal	ISSJ
Internationales Archiv für Sozialgeschichte der Deutschen Literatur	IASL
Interpretation: A Journal of Political Philosophy	IJPP
Inti: Revista de Literatura Hispánica	Inti
Iowa English Bulletin	IEY
The Iowa Review	IowaR
Iqbal Review: Journal of the Iqbal Academy Pakistan	IqR
Iran: Journal of the British Institute of Persian Studies	Iran
Iranian Studies: Journal of the Society for Iranian Studies	IranS
Irish Historical Studies	IHS
Irish University Review: A Journal of Irish Studies	IUR
Irodalomtörténet: History of Literature	Irodalom
Irodalomtörténeti Füzetek	IrodalF
Irodalomtörténeti Közlemények	IK
Issues in Applied Linguistics	IAL
It Beaken: Tydskrift fan de Fryske Akademy	ItB
L'Italia Dialettale: Rivista di Dialettologia Italiana	ID
Italia Francescana	IFr
Italia Medioevale e Umanistica	IMU
Italian Americana	ItalAm
Italian Culture	ItC
Italian Quarterly	IQ
Italian Studies	IS
Italianistica: Rivista di Letteratura Italiana	IRLI
Italica	Italica
Italienisch: Zeitschrift für Italienische Sprache und Literatur	ItalienischZ
Italyan Filolojisi/Filologia Italiana	ItF
ITL: Review of Applied Linguistics	ITL
Izraz: Casopis za Knjizevnu i Umjetnicku Kritiku	Izraz
Izvestiia Akademii Nauk, Seriia Literatury i Iazyka	IAN
Jadavpur Journal of Comparative Literature	JJCL
Jahrbuch der Deutschen Schillergesellschaft	JDSG
Jahrbuch der Jean-Paul-Gesellschaft	JJPG
Jahrbuch der Karl-May-Gesellschaft	JKMG
Jahrbuch der Österreichischen Byzantinistik	JÖBG
Jahrbuch des Freien Deutschen Hochstifts	JFDH
Jahrbuch des Wiener Goethe-Vereins	JWGV
Jahrbuch für Finnisch-Deutsche Literaturbeziehungen: Mitteilungen aus der Deutschen Bibliothek	JFDL
Jahrbuch für Fränkische Landesforschung	JFL
Jahrbuch für Internationale Germanistik	JIG
James Joyce Quarterly	JJQ
Japan Quarterly	JapQ
Jauna Gaita	JGa
Jewish Folklore and Ethnology Review	JFER
Jezik: Casopis za Kulturu Hrvatskoga Knjizevnog Jezika	Jezik
Jezik in Slovstvo	JiS
Jezyk Polski	JPol
JGE: The Journal of General Education	JGE
John Donne Journal: Studies in the Age of Donne	JDJ
Journal Asiatique	JAsiat
Journal des Savants	JS
Journal for the Scientific Study of Religion	JSSR
Journal of Abnormal Psychology	JAP
Journal of Advanced Composition	JAC
Journal of Aesthetics and Art Criticism	JAAC
Journal of American Culture	JACult
Journal of American Folklore	JAF
Journal of American Studies	JAmS
Journal of Anthropological Research	JAR
Journal of Asian Studies	JASt
Journal of Australian Literature	JAusL
Journal of Baltic Studies	JBalS
Journal of Beckett Studies	JBeckS
Journal of Canadian Fiction	JCF
Journal of Canadian Studies/Revue d'Etudes Canadiennes	JCSR
Journal of Caribbean Studies	JCSt
Journal of Child Language	JChL
Journal of Chinese Linguistics	JChinL
Journal of Chinese Philosophy	JChinP
The Journal of Commonwealth Literature	JCL
Journal of Communication	JC
Journal of Communication Inquiry	JOCI
Journal of Comparative Literature and Aesthetics	JCLA
The Journal of Country Music	JCM
Journal of Croatian Studies: Annual Review of the Croatian Academy of America, Inc.	JCS
Journal of Cultural Geography	JCG
Journal of Cuneiform Studies	JCunS
Journal of Documentation	JD
Journal of Dramatic Theory and Criticism	JDTC
Journal of English and Foreign Languages	JEFL
Journal of English and Germanic Philology	JEGP
The Journal of English Language and Literature	JELL
Journal of English Linguistics	JEngL
Journal of English Studies	JEngS
Journal of European Studies	JES
Journal of Experimental Psychology: Human Perception and Performance	JExPH
Journal of Experimental Psychology: Learning, Memory, and Cognition	JExPLMC
Journal of Folklore Research	JFR
Journal of French Language Studies	JFLS
Journal of Hellenic Studies	JoHS
Journal of Hispanic Philology	JHP
Journal of Indian Philosophy	JIP
The Journal of Indian Writing in English	JIWE
Journal of Indo-European Studies	JIES
Journal of Irish Literature	JIL
The Journal of Japanese Studies	JJS
Journal of King Saud University, Arts	JKSUA
Journal of Kyoritsu Women's Junior College	JKWJC
Journal of Language and Social Psychology	JLSP
Journal of Learning Disabilities	JLD
Journal of Linguistics	JL
Journal of Literary Semantics	JLS
Journal of Literary Studies/Tydskrif Vir Literaturwetenskap	JLSTL
Journal of Macrolinguistics	JMacL
Journal of Medieval and Renaissance Studies	JMRS
Journal of Memory and Language	JMemL
The Journal of Modern African Studies	JMAS
Journal of Modern Greek Studies	JMGS
Journal of Modern Literature	JML
Journal of Multilingual and Multicultural Development	JMMD
Journal of Narrative Technique	JNT
Journal of Near Eastern Studies	JNES
Journal of Nervous and Mental Disease	JNMD
Journal of Nonverbal Behavior	JNB
Journal of Northwest Semitic Languages	JNWSL
Journal of Personality and Social Psychology	JPSP
Journal of Philosophical Logic	JPL
Journal of Philosophy	JP
Journal of Phonetics	JPhon
Journal of Popular Culture	JPC
Journal of Popular Film and Television	JPFT
Journal of Pragmatics: An Interdisciplinary Bi-monthly of Language Studies	JPrag
Journal of Ritual Studies	JRStud
Journal of Semantics: An International Journal for the Interdisciplinary Study of the Semantics of Natural Language	JoS
Journal of Semitic Studies	JSS
Journal of South Asian Literature	JSoAL
Journal of Speech and Hearing Research	JSHR
Journal of Tamil Studies	JTamS
Journal of the Acoustical Society of America	JAS
Journal of the American Academy of Religion	JAAR
Journal of the American Oriental Society	JAOS
Journal of the American Romanian Academy of Arts and Sciences	JARAAS
Journal of the Appalachian Studies Association	JASA
Journal of the Asiatic Society of Bombay	JASB
Journal of the Association of Teachers of Japanese	JATJ
Journal of the Chinese Language Teachers Association	JCLTA
Journal of the Cork Historical and Archaeological Society	JCHAS
Journal of the Eighteen Nineties Society	JENS
Journal of the English Institute	JEI
Journal of the Ganganatha Jha Kendriya Sanskrit Vidyapeetha	JGJRI
Journal of the Hellenic Diaspora	JHD
Journal of the History of Ideas	JHI
Journal of the International Phonetic Association	IPAJ
Journal of the Kafka Society of America	JKSA
Journal of the Maharaja Sayajirao University of Baroda	JMSUB
Journal of the Malaysian Branch of the Royal Asiatic Society	JRASM
The Journal of the Midwest Modern Language Association	JMMLA
Journal of the Oriental Institute	JOIB
Journal of the Polynesian Society	JPS
Journal of the Royal Asiatic Society of Great Britain and Ireland	JRAS
Journal of the Royal Society of Antiquaries of Ireland	JRSAI
Journal of the Rutgers University Libraries	JRUL
Journal of the School of Languages	JSL
Journal of the Siam Society	JSSB
Journal of the Southwest	JSw
Journal of the Warburg and Courtauld Institutes	JWCI
The Journal of the William Morris Society	JWMS
Journal of Ukrainian Studies	JUkGS
Journal of West African Languages	JWAL
Journal of West Indian Literature	JWIL
Journalism Quarterly	JQ
Joyce Studies Annual	JSA
Judaism: A Quarterly Journal of Jewish Life and Thought	Judaism
Juznoslovenski Filolog	JF
K&K: Kultur og Klasse. Kritik og Kulturanalyse	K&K
Kalbotyra: Lietuvos TSR Aukstuju Mokyklu Mokslo Darbai	Kalbotyra
Kalevalaseuran Vuosikirja	KSVK
Kanava	Kanava
Kansas Quarterly	KanQ
Kansatieteellinen Arkisto	KAr
Keates-Shelley Journal: Keates, Shelley, Byron, Hunt, and Their Circles	KSJ
Keates-Shelley Review	KSMB
Keel ja Kirjandus (Tallinn, Estonia)	KjK
Keiryo Kokugogaku/Mathematical Linguistics	KeK
Kentucky Folklore Record: A Regional Journal of Folklore and Folklife	KFR
The Kentucky Review	KRev
The Kenyon Review	KR
Kerkyraika Chronika	KerC
The Kipling Journal	KJ
Kirjallisuudentutkijain Seuran Vuosikirja	KSV
Kiswahili	Kiswahili
Klage: Kölner Linguistiche Arbeiten-Germanistik	Klage
Klasgids: By die Studie van die Afrikaanse Taal en Letterkunde	Klasgids
Klaus-Groth-Gesellschaft Jahresgabe	KGGJ
Kleine Beiträge zur Droste-Forschung (Münster, FRG)	KBDF
Knjizevna Istorija	KnjIst
Knjizevna Kritika: Casopis za Estetiku Knjizevnosti	KnjiK
Knjizevnost	Knji
Knygotyra: Vilniaus Universiteto Mokslo Darbai	Knygotyra
Kodikas/Code/Ars semeiotica	Kodikas
Kongelige Danske Videnskabernes Selskab. Historisk-Filosofiske Meddelelser	KDVS
Kontekst: Literary Theory Studies	Kontekst
Korea Journal	KoJ
Korespondence Pomembnih Slovencev	KPS
Korrespondenzblatt des Vereins für Niederdeutsche Sprachforschung	KVNS
Kortárs: Irodalmi és Kritikai Folyóirat	Kortárs
Korunk	Korunk
Kritik: Tidsskrift for Litteratur, Forskning, Undervisning	Kritik
Kul'tura Slova	KSl
Kultura: Szkice, Opowiadania, Sprawozdania	KulturaP
Kulturos Barai	KB
Kulturtidskriften HORISONT	Horisont
Kunapipi	Kunapipi
Kwansei Gakuin University Annual Studies	KGUAS
Kwartalnik Neofilologiczny	KN
Kypriakai Spoudai	KyS
Kypriakos Logos	KL
Lamar Journal of the Humanities	LJHum
Landfall: A New Zealand Quarterly	Landfall
Le Langage et l'Homme: Recherches Pluridisciplinaires sur le Langage	Lang&H
Langages	Langages
Language and Computers: Studies in Practical Linguistics	L&Comp
Language and Culture	Lang&C
Language and Literature: Journal of the Poetics and Linguistics Association	Lang&Lit
Language and Speech	L&S
Language and Style: An International Journal	Lang&S
Language in Society (Boulder, CO)	LSoc
Language: Journal of the Linguistic Society of America	Language
Language Learning: A Journal of Applied Linguistics	LL
Language Problems and Language Planning/Lingvaj Problemoj kaj Lingvo-Planado	LPLP
The Language Quarterly	LangQ
Language Research	LangR
Language Sciences	LangS
Language Testing	LangT	
Language Variation and Change	LV&C
Langue Française	LFr
Les Langues Modernes	LanM
Les Langues Néo-Latines: Bulletin Trimestriel de la Société de Langues Néo-Latines	LLNL
Latin Amerian Music Review/Revista de Música Latinoamericana	LAMR
Latin American Indian Literatures Journal: A Review of American Indian Texts and Studies	LAILJ
Latin American Literary Review	LALR
Latin American Theatre Review	LATR
Latinitas: Commentarii Linguae Latinae Excolendae	Latinitas
Latomus: Revue d'Etudes Latines	Latomus
Latvijas Zinatnu Akademijas Vestis	LZAV
Lebende Sprachen: Zeitschrift für Fremde Sprachen in Wissenschaft und Praxis	LSp
Lectura Dantis: A Forum for Dante Research and Interpretation	LDant
Legacy: A Journal of American Women Writers	Legacy
Legon Journal of the Humanities	LJH
Lendemains: Etudes Comparées sur la France/Vergleichende Frankreichforschung	Lendemains
Lenguaje y Texto	LyT
Lenguas Modernas	LengM
Leshonenu La'Am	LLa
Leshonenu/Lesonénu: A Journal for the Study of the Hebrew Language and Cognate Subjects/Ketav-'Et le-Heqer ha-Lashon ha-'Ivrit ve-ha-Tehumim ha-Semukhim Lah	Leshonenu
Lessing Yearbook/Jahrbuch	LY
Letras de Buenos Aires	LdBA
Letras Femeninas	LFem
Letras Peninsulares	LetP
Letterato: Periodico di Attualità e Cultura	Letterato
Letteratura Italiana Contemporaneo: Rivista Quadrimestrale di Studi Sul Novecento	LIC
Letterature d'America: Rivista Trimestrale	LAmer
Lettere Italiane	LI
Lettres Québécoises	LQ
Les Lettres Romanes	LR
Letture Classensi	LetC
Letture: Libro e Spettacolo/Mensile di Studi e Rassegne	Letture
Leuvense Bijdragen: Contributions in Linguistics and Philology	LB
Leyte-Samar Studies	LSS
Liberté	Liberté
Libraries & Culture: A Journal of Library History	Lib&C
Librarium: Zeitschrift der Schweizerischen Bibliophilen-Gesellschaft/Revue de la Société Suisse des Bibliophiles	Librarium
The Library: The Transactions of the Bibliographical Society	Library
Libri: International Library Review	Libri
La Licorne	Licorne
LiLi: Zeitschrift für Literaturwissenschaft und Linguistik	LiLi
Limba Romana	LimR
Lingua e Stile: Trimestrale di Filosofia del Linguaggio, Linguistica e Analisi Letteraria	LeS
Lingua: International Review of General Linguistics	Lingua
Lingua Nostra	LN
The Linguist	Linguist
Linguistic Analysis	LingA
Linguistic Inquiry	LingI
The Linguistic Review	TLR
Linguistica	Linguistica
Linguistica Antverpiensia	LA
Linguistica Biblica: Interdisziplinäre Zeitschrift für Theologie und Linguistik	LBib
Linguistica Uralica	LUral
Linguistics: An Interdisciplinary Journal of the Language Sciences	Linguistics
Linguistics and Education: An International Research Journal	L&E
Linguistics and Philosophy: An International Journal	Ling&P
La Linguistique: Revue de la Société Internationale de Linguistique Fonctionnelle/Journal of the International Society of Functional Linguistics	Linguistique
Linguistische Berichte	LingB
Lingvisticæ Investigationes: Revue Internationale de Linguistique Française et de Linguistique Générale	LingInv
The Lion and the Unicorn: A Critical Journal of Children's Literature	L&U
Listy Filologické: Folia Philologica	LF
Lit: Literature Interpretation Theory	LIT
Literarni Leksikon	LitLeks
Literary and Linguistic Computing: Journal of the Association for Literary and Linguistic Computing	L&LC
The Literary Criterion	LCrit
The Literary Endeavour: A Quarterly Journal Devoted to English Studies	LitE
Literary Half-Yearly	LHY
The Literary Review: An International Journal of Contemporary Writing	LitR
Literatur für Leser	LfL
Literatur in Wissenschaft und Unterricht	LWU
Literatur und Kritik	LuK
Literatura (Budapest, Hungary)	Literatura
Literatura Chilena: Creación y Crítica	LitC
Literatura Foiro: Kultura Revuo en Esperanto	LFoiro
Literatura ir Menas	LiMen
Literatura: Lietuvos Aukstuju Mokyklu Mokslo Darbai (Vilnius, Lithuania} {Literatura}	Literatura: Lietuvos Aukstuju Mokyklu Mokslo Darbai (Vilnius, Lithuania} {Literatura}
Literatura Ludowa	LLud
Literatura un Maksla	LuM
Literature and Belief	L&B
Literature and History	L&H
Literature and Medicine	L&M
Literature and Psychology	L&P
Literature East and West	LE&W
Literature/Film Quarterly	LFQ
Literature & Theology: An Interdisciplinary Journal of Theory and Criticism	L&T
Literaturen Forum: Sedmichnik na Nesavisimite Balgarski Pisateli	LForum
Literaturna Misul	LMi
Literaturnaia Gazeta	LG
Literaturnoe Obozrenie: Organ Soiuza Pisatelei SSSR	LO
Literaturwissenschaftliches Jahrbuch im Auftrage der Görres-Gesellschaft	LJGG
Litterae Slovenicae: A Slovene Literary Magazine	LittSlov
Litteraria: Teoria Literatury. Metodologia. Kultura. Humanistyka	Litteraria
Littérature	Lit
Littératures	Litt
Lituanus: Baltic States Quarterly of Arts & Sciences	Lituanus
Living Author Series	LAS
Living Blues: A Journal of the African-American Blues Tradition	LBl
Lletra de Canvi	LdC
London Review of Books	LRB
[London] Times Literary Supplement	TLS
Looming: Eesti Kirjanike Liidu Kuukiri	LoomingE
Lore and Language	Lore&L
Los Ensayistas: Georgia Series on Hispanic Thought	Ensayistas
Lost Generation Journal	LGJ
Lovecraft Studies	LSt
Lucero: A Journal of Iberian and Latin American Studies	Lucero
Lud: Organ Polskiego Towarzystwa Ludoznawczego i Komitetu Nauk Etnologicznych Polskiej Akademii/Organe de la Société Polonaise d'Ethnologie et du Comité des Sciences Ethnologiques	Lud
Luso-Brazilian Review	LBR
Luther: Zeitschrift der Luther-Gesellschaft	Luther
Lutherjahrbuch	LJb
Maal og Minne	MM
Maatstaf	Maatstaf
Macedonian Review: History, Culture, Literature, Arts	MacR
Machine Translation	MachT
Magazine Littéraire	MagLitt
Magyar Könyvszemle: Könyvtörténeti Folyóirat/Revue pour l'Histoire du Livre et de la Presse	MK
Magyar Nyelv	MNy
Magyar Nyelvjárások	MNyj
Magyar Nyelvõr	MagN
Maia: Rivista di Letterature Classiche	Maia
Majalle(h)-ye Daneshkad(h)-ye Adabiyyat-e va Olume-e Ensani-e Danashga(h)-e Ferdowsi	MDAM
Makedonika	Makedonika
Makedonski Jazik	MJ
Maledicta: The International Journal of Verbal Aggression	Maledicta
