Academia Economic Papers	Academia Econ. Pap.	Academia Econ Pap
Indian Journal of Quantitative Economics	Indian J. Quant. Econ.	Indian J Quant Econ
Indiana Business Review	Indiana Bus. Rev.	Indiana Bus Rev
Industrial and Corporate Change	Ind. Corp. Change	Ind Corp Change
Industrial and Labor Relations Review	Ind. Lab. Relat. Rev.	Ind Lab Relat Rev
Industrial Organization Review	Ind. Organ. Rev.	Ind Organ Rev
Industrial Relations	Ind. Relat.	Ind Relat
Industry and Development	Industry Devel.	Industry Devel
Industry and Innovation	Industry Innovation	Industry Innovation
Info	Info	Info
Informacion Comercial Española Revista de Economia	Info. Comercial Española Revista Econ.	Info Comercial Española Revista Econ
Information Economics and Policy	Info. Econ. Pol.	Info Econ Pol
Innovations	Innovations	Innovations
Inquiry	Inquiry	Inquiry
Insurance: Mathematics and Economics	Ins.: Mathematics Econ.	Ins: Mathematics Econ
Integration and Trade	Integration Trade	Integration Trade
Intermountain Economic Review	Intermountain Econ. Rev.	Intermountain Econ Rev
International Advances in Economic Research	Int. Advances Econ. Res.	Int Advances Econ Res
International Contributions to Labour Studies	Int. Contrib. to Lab. Stud.	Int Contrib to Lab Stud
International Economic Insights	Int. Econ. Insights	Int Econ Insights
International Economic Journal	Int. Econ. J.	Int Econ J
International Economic Review	Int. Econ. Rev.	Int Econ Rev
International Economy	Int. Economy	Int Economy
International Finance	Int. Finance	Int Finance
International Game Theory Review	Int. Game Theory Rev.	Int Game Theory Rev
International Journal of Applied Economics and Econometrics	Int. J. Appl. Econ. Econometrics	Int J Appl Econ Econometrics
International Journal of Business	Int. J. Bus.	Int J Bus
International Journal of Finance and Economics	Int. J. Finance Econ.	Int J Finance Econ
International Journal of Forecasting	Int. J. Forecasting	Int J Forecasting
International Journal of Game Theory	Int. J. Game Theory	Int J Game Theory
International Journal of Industrial Organization	Int. J. Ind. Organ.	Int J Ind Organ
International Journal of Manpower	Int. J. Manpower	Int J Manpower
International Journal of Maritime Economics	Int. J. Maritime Econ.	Int J Maritime Econ
International Journal of Production Economics	Int. J. Product. Econ.	Int J Product Econ
International Journal of Social Economics	Int. J. Soc. Econ.	Int J Soc Econ
International Journal of the Economics of Business	Int. J. Econ. Bus.	Int J Econ Bus
International Journal of Theoretical and Applied Finance	Int. J. Theoretical Appl. Finance	Int J Theoretical Appl Finance
International Journal of Transport Economics	Int. J. Transport Econ.	Int J Transport Econ
International Journal of Urban and Regional Research	Int. J. Urban Reg. Res.	Int J Urban Reg Res
International Labour Review	Int. Lab. Rev.	Int Lab Rev
International Monetary Fund Staff Papers	Int. Monet. Fund Staff Pap.	Int Monet Fund Staff Pap
International Organization	Int. Organ.	Int Organ
International Policy Review	Int. Pol. Rev.	Int Pol Rev
International Regional Science Review	Int. Reg. Sci. Rev.	Int Reg Sci Rev
International Review of Applied Economics	Int. Rev. Appl. Econ.	Int Rev Appl Econ
International Review of Economics and Finance	Int. Rev. Econ. Finance	Int Rev Econ Finance
International Review of Financial Analysis	Int. Rev. Finan. Anal.	Int Rev Finan Anal
International Review of Law and Economics	Int. Rev. Law Econ.	Int Rev Law Econ
International Social Science Journal	Int. Soc. Sci. J.	Int Soc Sci J
International Tax and Public Finance	Int. Tax Public Finance	Int Tax Public Finance
International Trade Journal	Int. Trade J.	Int Trade J
Investigación Económica	Investigación Econ.	Investigación Econ
Investigaciones Economicas	Investigaciones Econ.	Investigaciones Econ
Investment Policy	Invest. Pol.	Invest Pol
Irish Banking Review	Irish Banking Rev.	Irish Banking Rev
Irish Journal of Agricultural Economics and Rural Sociology	Irish J. Agr. Econ. Rural Sociology	Irish J Agr Econ Rural Sociology
ISE Review	ISE Rev.	ISE Rev
Islamic Economic Studies	Islamic Econ. Stud.	Islamic Econ Stud
Jahrbuch der Wirtschaft Osteuropas	Jahr. Wirtsch. Osteuropas	Jahr Wirtsch Osteuropas
Jahrbuch für Regionalwissenschaft/Review of Regional Research	Jahr. Regionalwissen./Rev. Reg. Res.	Jahr Regionalwissen/Rev Reg Res
Jahrbücher für Nationalökonomie und Statistik	Jahr. Nationalökon. Statist.	Jahr Nationalökon Statist
Japan and the World Economy	Japan World Economy	Japan World Economy
Japan Research Quarterly	Japan Res. Quart.	Japan Res Quart
Japanese Economic Review	Japanese Econ. Rev.	Japanese Econ Rev
Japanese Economic Studies	Japanese Econ. Stud.	Japanese Econ Stud
Japanese Economy	Japanese Economy	Japanese Economy
Journal for Studies in Economics and Econometrics	J. Stud. Econ. Econometrics	J Stud Econ Econometrics
Journal of Accounting and Economics	J. Acc. Econ.	J Acc Econ
Journal of Accounting Research	J. Acc. Res.	J Acc Res
Journal of Accounting, Auditing and Finance	J. Acc., Aud. Finance	J Acc, Aud Finance
Journal of African Business	J. African Bus.	J African Bus
Journal of African Economies	J. African Economies	J African Economies
Journal of African Finance and Economic Development	J. African Finance Econ. Devel.	J African Finance Econ Devel
Journal of Agricultural and Applied Economics	J. Agr. Appl. Econ.	J Agr Appl Econ
Journal of Agricultural and Resource Economics	J. Agr. Resource Econ.	J Agr Resource Econ
Journal of Agricultural Economics Research	J. Agr. Econ. Res.	J Agr Econ Res
Journal of Agricultural Economics	J. Agr. Econ.	J Agr Econ
Journal of Applied Business Research	J. Appl. Bus. Res.	J Appl Bus Res
Journal of Applied Econometrics	J. Appl. Econometrics	J Appl Econometrics
Journal of Applied Economics	J. Appl. Econ.	J Appl Econ
Journal of Applied Statistics	J. Appl. Statist.	J Appl Statist
Journal of Asian Economics	J. Asian Econ.	J Asian Econ
Journal of Asian Studies	J. Asian Stud.	J Asian Stud
Journal of Asia-Pacific Business	J. Asia-Pacific Bus.	J Asia-Pacific Bus
Journal of Australian Political Economy	J. Australian Polit. Economy	J Australian Polit Economy
Journal of Bank Research	J. Bank Res.	J Bank Res
Journal of Banking and Finance	J. Banking Finance	J Banking Finance
Journal of Behavioral Economics	J. Behavioral Econ.	J Behavioral Econ
Journal of Bioeconomics	J. Bioecon.	J Bioecon
Journal of Business and Economic Statistics	J. Bus. Econ. Statist.	J Bus Econ Statist
Journal of Business Research	J. Bus. Res.	J Bus Res
Journal of Business	J. Bus.	J Bus
Journal of Common Market Studies	J. Common Market Stud.	J Common Market Stud
Journal of Comparative Economics	J. Compar. Econ.	J Compar Econ
Journal of Conflict Resolution	J. Conflict Resolution	J Conflict Resolution
Journal of Consumer Affairs	J. Cons. Aff.	J Cons Aff
Journal of Consumer Policy	J. Cons. Pol.	J Cons Pol
Journal of Consumer Research	J. Cons. Res.	J Cons Res
Journal of Corporate Finance: Contracting, Governance and Organization	J. Corp. Finan.: Contracting, Governance Organ.	J Corp Finan: Contracting, Governance Organ
Journal of Cultural Economics	J. Cult. Econ.	J Cult Econ
Journal of Derivatives	J. Derivatives	J Derivatives
Journal of Developing Areas	J. Developing Areas	J Developing Areas
Journal of Development and Economic Policies	J. Devel. Econ. Pol.	J Devel Econ Pol
Journal of Development Economics	J. Devel. Econ.	J Devel Econ
Journal of Development Studies	J. Devel. Stud.	J Devel Stud
Journal of East and West Studies	J. East West Stud.	J East West Stud
Journal of East-West Business	J. East-West Bus.	J East-West Bus
Journal of Econometrics	J. Econometrics	J Econometrics
Journal of Economic and Social Measurement	J. Econ. Soc. Meas.	J Econ Soc Meas
Journal of Economic and Social Policy	J. Econ. Soc. Pol.	J Econ Soc Pol
Journal of Economic and Social Research	J. Econ. Soc. Res.	J Econ Soc Res
Journal of Economic Behavior and Organization	J. Econ. Behav. Organ.	J Econ Behav Organ
Journal of Economic Cooperation among Islamic Countries	J. Econ. Cooperation Islamic Countries	J Econ Cooperation Islamic Countries
Journal of Economic Development	J. Econ. Devel.	J Econ Devel
Journal of Economic Dynamics and Control	J. Econ. Dynam. Control	J Econ Dynam Control
Journal of Economic Education	J. Econ. Educ.	J Econ Educ
Journal of Economic Growth	J. Econ. Growth	J Econ Growth
Journal of Economic History	J. Econ. Hist.	J Econ Hist
Journal of Economic Integration	J. Econ. Integration	J Econ Integration
Journal of Economic Issues	J. Econ. Issues	J Econ Issues
Journal of Economic Literature	J. Econ. Lit.	J Econ Lit
Journal of Economic Methodology	J. Econ. Methodology	J Econ Methodology
Journal of Economic Perspectives	J. Econ. Perspect.	J Econ Perspect
Journal of Economic Psychology	J. Econ. Psych.	J Econ Psych
Journal of Economic Research	J. Econ. Res.	J Econ Res
Journal of Economic Studies	J. Econ. Stud.	J Econ Stud
Journal of Economic Surveys	J. Econ. Surveys	J Econ Surveys
Journal of Economic Theory and Econometrics	J. Econ. Theory Econometrics	J Econ Theory Econometrics
Journal of Economic Theory	J. Econ. Theory	J Econ Theory
Journal of Economics (MVEA)	J. Econ. (MVEA)	J Econ (MVEA)
Journal of Economics (Zeitschrift für Nationalökonomie)	J. Econ. (Z. Nationalökon.)	J Econ (Z Nationalökon)
Journal of Economics and Business	J. Econ. Bus.	J Econ Bus
Journal of Economics and Finance	J. Econ. Finance	J Econ Finance
Journal of Economics and Management Strategy	J. Econ. Manage. Strategy	J Econ Manage Strategy
Journal of Education Finance	J. Educ. Finance	J Educ Finance
Journal of Emerging Markets	J. Emerging Markets	J Emerging Markets
Journal of Empirical Finance	J. Empirical Finance	J Empirical Finance
Journal of Energy and Development	J. Energy Devel.	J Energy Devel
Journal of Energy Finance and Development	J. Energy Finance Devel.	J Energy Finance Devel
Journal of Energy Literature	J. Energy Lit.	J Energy Lit
Journal of Environment and Development	J. Environ. Devel.	J Environ Devel
Journal of Environmental Economics and Management	J. Environ. Econ. Manage.	J Environ Econ Manage
Journal of Environmental Planning and Management	J. Environ. Planning Manage.	J Environ Planning Manage
Journal of European Economic History	J. Europ. Econ. Hist.	J Europ Econ Hist
Journal of Evolutionary Economics	J. Evolutionary Econ.	J Evolutionary Econ
Journal of Family and Economic Issues	J. Family Econ. Issues	J Family Econ Issues
Journal of Far Eastern Business	J. Far Eastern Bus.	J Far Eastern Bus
Journal of Farm Economics	J. Farm Econ.	J Farm Econ
Journal of Finance	J. Finance	J Finance
Journal of Financial and Quantitative Analysis	J. Finan. Quant. Anal.	J Finan Quant Anal
Journal of Financial Economics	J. Finan. Econ.	J Finan Econ
Journal of Financial Intermediation	J. Finan. Intermediation	J Finan Intermediation
Journal of Financial Management and Analysis	J. Finan. Manage. Anal.	J Finan Manage Anal
Journal of Financial Research	J. Finan. Res.	J Finan Res
Journal of Financial Services Research	J. Finan. Services Res.	J Finan Services Res
Journal of Forensic Economics	J. Forensic Econ.	J Forensic Econ
Journal of Futures Markets	J. Futures Markets	J Futures Markets
Journal of Geographical Systems	J. Geograph. Systems	J Geograph Systems
Journal of Health Economics	J. Health Econ.	J Health Econ
Journal of Health Politics, Policy and Law	J. Health Politics, Pol. Law	J Health Politics, Pol Law
Journal of Higher Education Policy and Management	J. Higher Educ. Pol. Manage.	J Higher Educ Pol Manage
Journal of Housing Economics	J. Housing Econ.	J Housing Econ
Journal of Housing Research	J. Housing Res.	J Housing Res
Journal of Human Resources	J. Human Res.	J Human Res
Journal of Income Distribution	J. Income Distribution	J Income Distribution
Journal of Industrial Economics	J. Ind. Econ.	J Ind Econ
Journal of Industry Studies	J. Industry Stud.	J Industry Stud
Journal of Institutional and Theoretical Economics	J. Inst. Theoretical Econ.	J Inst Theoretical Econ
Journal of Interamerican Studies and World Affairs	J. Interamer. Stud. World Aff.	J Interamer Stud World Aff
Journal of Interdisciplinary Economics	J. Interdisciplinary Econ.	J Interdisciplinary Econ
Journal of International and Comparative Economics	J. Int. Compar. Econ.	J Int Compar Econ
Journal of International Business Studies	J. Int. Bus. Stud.	J Int Bus Stud
Journal of International Development	J. Int. Devel.	J Int Devel
Journal of International Economic Law	J. Int. Econ. Law	J Int Econ Law
Journal of International Economics	J. Int. Econ.	J Int Econ
Journal of International Financial Markets, Institutions and Money	J. Int. Finan. Markets, Inst. Money	J Int Finan Markets, Inst Money
Journal of International Money and Finance	J. Int. Money Finance	J Int Money Finance
Journal of International Trade and Economic Development	J. Int. Trade Econ. Devel.	J Int Trade Econ Devel
Journal of King Abdulaziz University: Islamic Economics	J. King Abdulaziz Univ.: Islamic Econ.	J King Abdulaziz Univ: Islamic Econ
Journal of Labor Economics	J. Lab. Econ.	J Lab Econ
Journal of Labor Research	J. Lab. Res.	J Lab Res
Journal of Law and Economics	J. Law Econ.	J Law Econ
Journal of Law, Economics, and Organization	J. Law, Econ., Organ.	J Law, Econ, Organ
Journal of Legal Economics	J. Legal Econ.	J Legal Econ
Journal of Legal Studies	J. Legal Stud.	J Legal Stud
Journal of Macroeconomics	J. Macroecon.	J Macroecon
Journal of Management Accounting Research	J. Manage. Acc. Res.	J Manage Acc Res
Journal of Management and Governance	J. Manage. Governance	J Manage Governance
Journal of Marketing Research	J. Marketing Res.	J Marketing Res
Journal of Marketing	J. Marketing	J Marketing
Journal of Markets and Morality	J. Markets Morality	J Markets Morality
Journal of Mathematical Economics	J. Math. Econ.	J Math Econ
Journal of Monetary Economics	J. Monet. Econ.	J Monet Econ
Journal of Money, Credit, and Banking	J. Money, Credit, Banking	J Money, Credit, Banking
Journal of Multinational Financial Management	J. Multinat. Finan. Manage.	J Multinat Finan Manage
Journal of Peace Research	J. Peace Res.	J Peace Res
Journal of Peace Science	J. Peace Sci.	J Peace Sci
Journal of Policy Analysis and Management	J. Pol. Anal. Manage.	J Pol Anal Manage
Journal of Policy Modeling	J. Pol. Modeling	J Pol Modeling
Journal of Policy Reform	J. Pol. Reform	J Pol Reform
Journal of Political Economy	J. Polit. Economy	J Polit Economy
Journal of Population Economics	J. Population Econ.	J Population Econ
Journal of Portfolio Management	J. Portfol. Manage.	J Portfol Manage
Journal of Post Keynesian Economics	J. Post Keynesian Econ.	J Post Keynesian Econ
Journal of Private Enterprise	J. Private Enterprise	J Private Enterprise
Journal of Productivity Analysis	J. Productiv. Anal.	J Productiv Anal
Journal of Public and International Affairs	J. Public Int. Aff.	J Public Int Aff
Journal of Public Economic Theory	J. Public Econ. Theory	J Public Econ Theory
Journal of Public Economics	J. Public Econ.	J Public Econ
Journal of Public Finance and Public Choice/Economia Delle Scelte Pubbliche	J. Public Finance Public Choice/Econ. Scelte Pubbliche	J Public Finance Public Choice/Econ Scelte Pubbliche
Journal of Quantitative Economics	J. Quant. Econ.	J Quant Econ
Journal of Real Estate Finance and Economics	J. Real Estate Finance Econ.	J Real Estate Finance Econ
Journal of Real Estate Literature	J. Real Estate Lit.	J Real Estate Lit
Journal of Real Estate Portfolio Management	J. Real Estate Portfol. Manage.	J Real Estate Portfol Manage
Journal of Real Estate Practice and Education	J. Real Estate Practice Educ.	J Real Estate Practice Educ
Journal of Real Estate Research	J. Real Estate Res.	J Real Estate Res
Journal of Regional Analysis and Policy	J. Reg. Anal. Pol.	J Reg Anal Pol
Journal of Regional Science	J. Reg. Sci.	J Reg Sci
Journal of Regulatory Economics	J. Regul. Econ.	J Regul Econ
Journal of Research in Islamic Economics	J. Res. Islamic Econ.	J Res Islamic Econ
Journal of Research in Pharmaceutical Economics	J. Res. Pharmaceut. Econ.	J Res Pharmaceut Econ
Journal of Risk and Insurance	J. Risk Ins.	J Risk Ins
Journal of Risk and Uncertainty	J. Risk Uncertainty	J Risk Uncertainty
Journal of Social and Economic Development	J. Soc. Econ. Devel.	J Soc Econ Devel
Journal of Socio-Economics	J. Socio-Econ.	J Socio-Econ
Journal of Sports Economics	J. Sports Econ.	J Sports Econ
Journal of Taxation	J. Taxation	J Taxation
Journal of Technology Transfer	J. Tech. Transfer	J Tech Transfer
Journal of the American Real Estate and Urban Economics Association	J. Amer. Real Estate Urban Econ. Assoc.	J Amer Real Estate Urban Econ Assoc
Journal of the American Statistical Association	J. Amer. Statistical Assoc.	J Amer Statistical Assoc
Journal of the Asia Pacific Economy	J. Asia Pacific Economy	J Asia Pacific Economy
Journal of the Economics of Business	J. Econ. of Bus.	J Econ of Bus
Journal of the History of Economic Thought	J. Hist. Econ. Thought	J Hist Econ Thought
Journal of the Japanese and International Economies	J. Japanese Int. Economies	J Japanese Int Economies
Journal of the Royal Statistical Society, Series A	J. Roy. Statistical Society	J Roy Statistical Society
Journal of the Social Sciences	J. Soc. Sci.	J Soc Sci
Journal of the Statistical and Social Inquiry Society of Ireland	J. Statistical Soc. Inquiry Society Ireland	J Statistical Soc Inquiry Society Ireland
Journal of Transnational Management Development	J. Transnat. Manage. Devel.	J Transnat Manage Devel
Journal of Transport Economics and Policy	J. Transp. Econ. Pol.	J Transp Econ Pol
Journal of Urban Economics	J. Urban Econ.	J Urban Econ
Journal of World Business	J. World Bus.	J World Bus
Journal of World Trade Law	J. World Trade Law	J World Trade Law
Journal of World Trade	J. World Trade	J World Trade
Kansantaloudellinen Aikakauskirja	Kansant. Aikak.	Kansant Aikak
Keio Economic Studies	Keio Econ. Stud.	Keio Econ Stud
Kobe Economic and Business Review	Kobe Econ. Bus. Rev.	Kobe Econ Bus Rev
Kobe University Economic Review	Kobe Univ. Econ. Rev.	Kobe Univ Econ Rev
Kokumin-Keizai Zasshi	Kokumin-Keizai Zasshi	Kokumin-Keizai Zasshi
Konjunkturpolitik	Konjunkturpolitik	Konjunkturpolitik
Kredit und Kapital	Kredit Kapital	Kredit Kapital
Kyklos	Kyklos	Kyklos
Kyoto University Economic Review	Kyoto Univ. Econ. Rev.	Kyoto Univ Econ Rev
Labor History	Lab. Hist.	Lab Hist
Labour Economics	Lab. Econ.	Lab Econ
Labour	Labour	Labour
L'Actualité Economique	L'Actual. Econ.	L'Actual Econ
L'Actualité Economique/Revue D'Analyse Economique	L'Actual. Econ./Rev. Anal. Econ.	L'Actual Econ/Rev Anal Econ
Lahore Journal of Economics	Lahore J. Econ.	Lahore J Econ
Land Economics	Land Econ.	Land Econ
Latin American Politics and Society	Latin Amer. Politics Society	Latin Amer Politics Society
Law and Contemporary Problems	Law Contemp. Prob.	Law Contemp Prob
Lecturas de Economia	Lecturas Econ.	Lecturas Econ
Libyan Economic and Business Review	Libyan Econ. Bus. Rev.	Libyan Econ Bus Rev
Liiketaloudellinen Aikakauskirja	Liiketaloudellinen Aikak.	Liiketaloudellinen Aikak
L'Impresa	L'Impresa	L'Impresa
L'Industria	L'Industria	L'Industria
L'Industria, Nuova Serie	L'Industria, N.S.	L'Industria, NS
Lloyds Bank Review	Lloyds Bank Rev.	Lloyds Bank Rev
Local Economy	Local Economy	Local Economy
Logistics and Transportation Review	Logist. Transp. Rev.	Logist Transp Rev
Macroeconomic Dynamics	Macroecon. Dynam.	Macroecon Dynam
Malayan Economic Review	Malayan Econ. Rev.	Malayan Econ Rev
Management Accounting	Manage. Acc.	Manage Acc
Management Training Review	Manage. Train. Rev.	Manage Train Rev
Management	Management	Management
Managerial and Decision Economics	Managerial Dec. Econ.	Managerial Dec Econ
Manchester School of Economic and Social Studies	Manchester Sch. Econ. Soc. Stud.	Manchester Sch Econ Soc Stud
Manchester School	Manchester Sch.	Manchester Sch
Margin	Margin	Margin
Marine Resource Economics	Marine Resource Econ.	Marine Resource Econ
Maritime Policy and Management	Maritime Pol. Manage.	Maritime Pol Manage
Marketing Science	Marketing Sci.	Marketing Sci
Marquette Business Review	Marquette Bus. Rev.	Marquette Bus Rev
Matekon	Matekon	Matekon
Mathematical Finance	Math. Finance	Math Finance
Mathematical Methods of Operations Research	Math. Methods Operations Res.	Math Methods Operations Res
Mathematical Social Sciences	Math. Soc. Sci.	Math Soc Sci
Methodus	Methodus	Methodus
Metrika	Metrika	Metrika
Metroeconomica	Metroecon.	Metroecon
Michigan Academician	Mich. Academician	Mich Academician
Michigan Law Review	Mich. Law Rev.	Mich Law Rev
Middle East Business and Economic Review	Middle East Bus. Econ. Rev.	Middle East Bus Econ Rev
Middle East Economic Papers	Middle East Econ. Pap.	Middle East Econ Pap
Middle East Journal	Middle East J.	Middle East J
Middle East Technical University Studies in Development	METU Stud. Devel.	METU Stud Devel
Mississippi Valley Journal of Business and Economics	Miss. Val. J. Bus. Econ.	Miss Val J Bus Econ
Mitteilungen aus der Arbeitsmarkt- und Berufsforschung	Mitteilungen Arbeitsmarkt- Berufsforschung	Mitteilungen Arbeitsmarkt- Berufsforschung
MOCT-MOST: Economic Policy in Transitional Economies	MOCT-MOST: Econ. Pol. Transitional Economies	MOCT-MOST: Econ Pol Transitional Economies
Modern Asian Studies	Mod. Asian Stud.	Mod Asian Stud
Momento Económico	Momento Econ.	Momento Econ
Mondo Aperto	Mondo Aperto	Mondo Aperto
Moneda y Crédito	Moneda Crédito	Moneda Crédito
Moneta e Credito	Moneta Credito	Moneta Credito
Monetary and Economic Studies	Monet. Econ. Stud.	Monet Econ Stud
Monthly Labor Review	Mon. Lab. Rev.	Mon Lab Rev
Multinational Finance Journal	Multinat. Finance J.	Multinat Finance J
National Institute Economic Review	Nat. Inst. Econ. Rev.	Nat Inst Econ Rev
National Tax Journal	Nat. Tax J.	Nat Tax J
National Westminster Bank Quarterly Review	Nat. Westminster Bank Quart. Rev.	Nat Westminster Bank Quart Rev
Nationaløkonomisk Tidsskrift	Nationaløkon. Tidsskr.	Nationaløkon Tidsskr
Natural Resource Modeling	Natural Res. Modeling	Natural Res Modeling
Natural Resources Journal	Natural Res. J.	Natural Res J
Nebraska Journal of Economics and Business	Nebr. J. Econ. Bus.	Nebr J Econ Bus
Netnomics	Netnomics	Netnomics
New Economy	New Economy	New Economy
New England Economic Review	New England Econ. Rev.	New England Econ Rev
New Mexico Business	New Mexico Bus.	New Mexico Bus
New Political Economy	New Polit. Economy	New Polit Economy
New Trends Czech. Econ.	New Trends Czech. Econ.	New Trends Czech Econ
New Zealand Economic Papers	New Zealand Econ. Pap.	New Zealand Econ Pap
New Zealand Geographer	New Zealand Geographer	New Zealand Geographer
Nigerian Journal of Economic and Social Studies	Nigerian J. Econ. Soc. Stud.	Nigerian J Econ Soc Stud
Nomura Research Institute Quarterly Economic Review	Nomura Res. Inst. Quart. Econ. Rev.	Nomura Res Inst Quart Econ Rev
Nonlinear Dynamics, Psychology, and Life Sciences	Nonlinear Dynam., Psych., and Life Sci.	Nonlinear Dynam, Psych, and Life Sci
Nonprofit Management and Leadership	Nonprofit Manage. Leadership	Nonprofit Manage Leadership
Nordic Journal of Political Economy	Nordic J. Polit. Economy	Nordic J Polit Economy
North American Actuarial Journal	N. Amer. Actuarial J.	N Amer Actuarial J
North American Journal of Economics and Finance	N. Amer. J. Econ. Finance	N Amer J Econ Finance
OECD Economic Studies	OECD Econ. Stud.	OECD Econ Stud
Ohio State University Bulletin of Business Research	Ohio State U. Bull. Bus. Res.	Ohio State U Bull Bus Res
Okonomi og Politik	Okon. Polit.	Okon Polit
Okonomi	Okonomi	Okonomi
OPEC Review	OPEC Rev.	OPEC Rev
Open Economies Review	Open Economies Rev.	Open Economies Rev
OR Spectrum	OR Spectrum	OR Spectrum
OR Spektrum	OR Spektrum	OR Spektrum
Orbis Economicus	Orbis Econ.	Orbis Econ
Oregon Business Review	Oregon Bus. Rev.	Oregon Bus Rev
Organization and Environment	Organ. Environ.	Organ Environ
Osaka Economic Papers	Osaka Econ. Pap.	Osaka Econ Pap
Oxford Bulletin of Economics and Statistics	Oxford Bull. Econ. Statist.	Oxford Bull Econ Statist
Oxford Development Studies	Oxford Devel. Stud.	Oxford Devel Stud
Oxford Economic Papers	Oxford Econ. Pap.	Oxford Econ Pap
Oxford Review of Economic Policy	Oxford Rev. Econ. Pol.	Oxford Rev Econ Pol
Pacific and Asian Journal of Energy	Pacific Asian J. Energy	Pacific Asian J Energy
Pacific Economic Bulletin	Pacific Econ. Bull.	Pacific Econ Bull
Pacific Economic Review	Pacific Econ. Rev.	Pacific Econ Rev
Pacific-Basin Finance Journal	Pacific-Basin Finance J.	Pacific-Basin Finance J
Pakistan Development Review	Pakistan Devel. Rev.	Pakistan Devel Rev
Pakistan Economic and Social Review	Pakistan Econ. Soc. Rev.	Pakistan Econ Soc Rev
Pakistan Journal of Applied Economics	Pakistan J. Appl. Econ.	Pakistan J Appl Econ
Papeles de Economía Española	Pap. Econ. Española	Pap Econ Española
Papers in Regional Science	Pap. Reg. Sci.	Pap Reg Sci
Papers on Non-Market Decision Making	Pap. Non-Market Dec. Making	Pap Non-Market Dec Making
Peace Research Society International Papers	Peace Res. Society Int. Pap.	Peace Res Society Int Pap
Peace Science Society (International) Papers	Peace Sci. Society	Peace Sci Society
Pensamiento Iberoamericano: Revista de Economía Política	Pensa. Iberamer.: Revista Econ. Política	Pensa Iberamer: Revista Econ Política
Perspectives on Labour and Income	Perspect. Lab. Income	Perspect Lab Income
Pesquisa e Planejamento Econômico	Pesquisa Planejamento Econ.	Pesquisa Planejamento Econ
PharmacoEconomics	PharmacoEcon.	PharmacoEcon
Philippine Economic Journal	Philippine Econ. J.	Philippine Econ J
Philippine Journal of Business and Economics	Philippine J. Bus. Econ.	Philippine J Bus Econ
Philippine Journal of Business and Finance	Philippine J. Bus. Finance	Philippine J Bus Finance
Philippine Review of Economics and Business	Philippine Rev. Econ. Bus.	Philippine Rev Econ Bus
Philippine Review of Economics	Philippine Rev. Econ.	Philippine Rev Econ
Policy Analysis	Pol. Anal.	Pol Anal
Policy Review	Pol. Rev.	Pol Rev
Policy Sciences	Pol. Sci.	Pol Sci
Policy Studies	Pol. Stud.	Pol Stud
Policy	Policy	Policy
Politica Economica	Politica Econ.	Politica Econ
Political Science Quarterly	Polit. Sci. Quart.	Polit Sci Quart
Politická Ekonomie	Politická Ekon.	Politická Ekon
Population and Development Review	Population Devel. Rev.	Population Devel Rev
Population Bulletin	Population Bull.	Population Bull
Population Research and Policy Review	Population Res. Pol. Rev.	Population Res Pol Rev
Population Review	Population Rev.	Population Rev
Population Studies	Population Stud.	Population Stud
Population	Population	Population
Post-Communist Economies	Post-Communist Economies	Post-Communist Economies
Post-Soviet Affairs	Post-Soviet Aff.	Post-Soviet Aff
Post-Soviet Geography and Economics	Post-Soviet Geogr. Econ.	Post-Soviet Geogr Econ
Prague Economic Papers	Prague Econ. Pap.	Prague Econ Pap
Problemas del Desarrollo	Prob. Desarrollo	Prob Desarrollo
Problems of Economic Transition	Prob. Econ. Transition	Prob Econ Transition
Problems of Economics	Prob. Econ.	Prob Econ
Public Administration Review	Public Admin. Rev.	Public Admin Rev
Public Budgeting and Finance	Public Budg. Finance	Public Budg Finance
Public Choice	Public Choice	Public Choice
Public Finance Quarterly	Public Finance Quart.	Public Finance Quart
Public Finance Review	Public Finance Rev.	Public Finance Rev
Public Finance	Public Finance	Public Finance
Public Management Sources	Public Management Sources	Public Management Sources
Public Policy	Public Pol.	Public Pol
Punjab University Economist	Punjab Univ. Econ.	Punjab Univ Econ
Quaderni di Economia e Finanza	Quaderni Econ. Finanza	Quaderni Econ Finanza
Quaderni Storici delle Marche	Quaderni Storici delle Marche	Quaderni Storici delle Marche
Quantitative Finance	Quant. Finance	Quant Finance
Quarterly Journal of Austrian Economics	Quart. J. Austrian Econ.	Quart J Austrian Econ
Quarterly Journal of Business and Economics	Quart. J. Bus. Econ.	Quart J Bus Econ
Quarterly Journal of Economics	Quart. J. Econ.	Quart J Econ
Quarterly Journal of Indian Economic Studies in Social Science	Quart. J. Indian Econ. Stud. Soc. Sci.	Quart J Indian Econ Stud Soc Sci
Quarterly Review of Agricultural Economics	Quart. Rev. Agr. Econ.	Quart Rev Agr Econ
Quarterly Review of Economics and Business	Quart. Rev. Econ. Bus.	Quart Rev Econ Bus
Quarterly Review of Economics and Finance	Quart. Rev. Econ. Finance	Quart Rev Econ Finance
Quarterly Review of the Rural Economy	Quart. Rev. Rural Economy	Quart Rev Rural Economy
RAND Journal of Economics	RAND J. Econ.	RAND J Econ
Rassegna Economica	Rassegna Econ.	Rassegna Econ
Real Estate Economics	Real Estate Econ.	Real Estate Econ
Recherches Economiques de Louvain	Rech. Econ. Louvain	Rech Econ Louvain
