Administrative Law Review	Admin. L. Rev.	Admin L Rev
NYU Journal of Law & Liberty	NYU J. L. & Liberty	NYU J L & Liberty
Ocean and Coastal Law Journal	Ocean & Coastal L.J.	Ocean & Coastal LJ
Ocean Development and International Law	Ocean Dev. & Int'l L.	Ocean Dev & Int'l L
Ohio Northern University Law Review	Ohio N.U. L. Rev.	Ohio NU L Rev
Ohio State Journal of Criminal Law	Ohio St. J. Crim. L.	Ohio St J Crim L
Ohio State Journal on Dispute Resolution	Ohio St. J. on Disp. Resol.	Ohio St J on Disp Resol
Ohio State Law Journal	Ohio St. L.J.	Ohio St LJ
Oklahoma City University Law Review	Okla. City U. L. Rev.	Okla City U L Rev
Oklahoma Law Review	Okla. L. Rev.	Okla L Rev
Oregon Law Review	Or. L. Rev.	Or L Rev
Oregon Review of International Law	Or. Rev. Int'l L.	Or Rev Int'l L
Pace Environmental Law Review	Pace Envtl. L. Rev.	Pace Envtl L Rev
Pace International Law Review	Pace Int'l L. Rev.	Pace Int'l L Rev
Pace Law Review	Pace L. Rev.	Pace L Rev
Pacific Rim Law & Policy Journal	Pac. Rim L. & Pol'y J.	Pac Rim L & Pol'y J
Penn St. Environmental Law Review	Penn St. Envtl. L. Rev.	Penn St Envtl L Rev
Penn State International Law Review	Penn St. Int'l L. Rev.	Penn St Int'l L Rev
Penn State Law Review	Penn St. L. Rev.	Penn St L Rev
Pepperdine Dispute Resolution Law Journal	Pepp. Disp. Resol. L.J.	Pepp Disp Resol LJ
Pepperdine Law Review	Pepp. L. Rev.	Pepp L Rev
Perspectives: Teaching Legal Research and Writing	Perspectives	Perspectives
Pittsburgh Tax Review	Pitt. Tax Rev.	Pitt Tax Rev
Professional Lawyer: Symposium Issue	Prof. Law.(Symposium Issue)	Prof Law(Symposium Issue)
Psychology, Public Policy, and Law	Psychol. Pub. Pol'y & L.	Psychol Pub Pol'y & L
Public Contract Law Journal	Pub. Cont. L.J.	Pub Cont LJ
Public Land & Resources Law Review	Pub. Land & Resources L. Rev.	Pub Land & Resources L Rev
Quinnipiac Health Law	Quinnipiac Health L.	Quinnipiac Health L
Quinnipiac Probate Law Journal	Quinnipiac Prob. L.J.	Quinnipiac Prob LJ
QLR	QLR	QLR
Real Property, Probate and Trust Journal	Real Prop. Prob. & Tr. J.	Real Prop Prob & Tr J
Regent University Law Review	Regent U. L. Rev.	Regent U L Rev
Research in Law and Economics	Research in L. & Econ.	Research in L & Econ
Review of Litigation	Rev. Litig.	Rev Litig
Richmond Journal of Global Law and Business	Rich. J. Global L. & Bus.	Rich J Global L & Bus
Roger Williams University Law Review	Roger Willliams U. L. Rev.	Roger Willliams U L Rev
Rutgers Computer and Technology Law Journal	Rutgers Computer & Tech. L.J.	Rutgers Computer & Tech LJ
Rutgers Law Journal	Rutgers L.J.	Rutgers LJ
Rutgers Law Review	Rutgers L. Rev.	Rutgers L Rev
Rutgers Race and the Law Review	Rutgers Race & L. Rev.	Rutgers Race & L Rev
St. John's Journal of Legal Commentary	St. John's J. Legal Comment.	St John's J Legal Comment
St. John's Law Review	St. John's L. Rev.	St John's L Rev
Saint Louis University Law Journal	St. Louis U. L.J.	St Louis U LJ
Saint Louis University Public Law Review	St. Louis U. Pub. L. Rev.	St Louis U Pub L Rev
Saint Louis-Warsaw Transatlantic Law Journal	St. Louis-Warsaw Transatlantic L.J.	St Louis-Warsaw Transatlantic LJ
St. Mary's Law Journal	St. Mary's L.J.	St Mary's LJ
St. Thomas Law Review	St. Thomas L. Rev.	St Thomas L Rev
San Diego International Law Journal	San Diego Int'l L.J.	San Diego Int'l LJ
San Diego Law Review	San Diego L. Rev.	San Diego L Rev
Santa Clara Computer and High Technology Law Journal	Santa Clara Computer & High Tech. L.J.	Santa Clara Computer & High Tech LJ
Santa Clara Law Review	Santa Clara L. Rev.	Santa Clara L Rev
Scholar: St. Mary's Law Review on Minority Issues	Scholar	Scholar
Scribes Journal of Legal Writing	Scribes J. Legal Writing	Scribes J Legal Writing
Seattle Journal for Social Justice	Seattle J. for Soc. Just.	Seattle J for Soc Just
Seattle University Law Review	Seattle U. L. Rev.	Seattle U L Rev
Seton Hall Constitutional Law Journal	Seton Hall Const. L.J.	Seton Hall Const LJ
Seton Hall Journal of Sport Law	Seton Hall J. Sport L.	Seton Hall J Sport L
Seton Hall Law Review	Seton Hall L. Rev.	Seton Hall L Rev
Seton Hall Legislative Journal	Seton Hall Legis. J.	Seton Hall Legis J
SMU Law Review	SMU L. Rev.	SMU L Rev
South Carolina Law Review	S.C. L. Rev.	SC L Rev
South Dakota Law Review	S.D. L. Rev.	SD L Rev
South Texas Law Review	S. Tex. L. Rev.	S Tex L Rev
Southeastern Environmental Law Journal	S.E. Envtl. L.J.	SE Envtl LJ
Southern California Interdisciplinary Law Journal	S. Cal. Interdisc. L.J.	S Cal Interdisc LJ
Southern California Law Review	S. Cal. L. Rev.	S Cal L Rev
Southern California Review of Law and Women's Studies	S. Cal. Rev. L. & Women's Stud.	S Cal Rev L & Women's Stud
Southern Illinois University Law Journal	S. Ill. U. L.J.	S Ill U LJ
Southern University Law Review	S.U. L. Rev.	SU L Rev
Southwestern Journal of Law and Trade in the Americas	Sw. J.L. & Trade Americas	Sw JL & Trade Americas
Southwestern University Law Review	Sw. U. L. Rev.	Sw U L Rev
Sports Lawyers Journal	Sports Law. J.	Sports Law J
Stanford Environmental Law Journal	Stan. Envtl. L.J.	Stan Envtl LJ
Stanford Journal of Civil Rights & Civil Liberties	Stan. J. C.R. & C.L.	Stan J CR & CL
Stanford Journal of International Law	Stan. J. Int'l L.	Stan J Int'l L
Stanford Journal of Law, Business & Finance	Stan. J.L. Bus. & Fin.	Stan JL Bus & Fin
Stanford Law & Policy Review	Stan. L. & Pol'y Rev.	Stan L & Pol'y Rev
Stanford Law Review	Stan. L. Rev.	Stan L Rev
Stetson Law Review	Stetson L. Rev.	Stetson L Rev
Suffolk Journal of Trial & Appellate Advocacy	Suffolk J. Trial & App. Advoc.	Suffolk J Trial & App Advoc
Suffolk Transnational Law Review	Suffolk Transnat'l L. Rev.	Suffolk Transnat'l L Rev
Suffolk University Law Review	Suffolk U.L. Rev.	Suffolk UL Rev
Supreme Court Review	Sup. Ct. Rev.	Sup Ct Rev
Syracuse Journal of International Law and Commerce	Syracuse J. Int'l L. & Com.	Syracuse J Int'l L & Com
Syracuse Law Review	Syracuse L. Rev.	Syracuse L Rev
Tax Law Review	Tax L. Rev.	Tax L Rev
Tax Lawyer	Tax Law.	Tax Law
Temple International and Comparative Law Journal	Temp. Int'l & Comp. L.J.	Temp Int'l & Comp LJ
Temple Journal of Science, Technology & Environmental Law	Temp. J. Sci. Tech. & Envtl. L.	Temp J Sci Tech & Envtl L
Temple Law Review	Temp. L. Rev.	Temp L Rev
Temple Political & Civil Rights Law Review	Temp. Pol. & Civ. Rts. L. Rev.	Temp Pol & Civ Rts L Rev
Tennessee Law Review	Tenn. L. Rev.	Tenn L Rev
Texas Hispanic Journal of Law & Policy	Tex. Hisp. J.L. & Pol'y	Tex Hisp JL & Pol'y
Texas Intellectual Property Law Journal	Tex. Intell. Prop. L.J.	Tex Intell Prop LJ
Texas International Law Journal	Tex. Int'l L.J.	Tex Int'l LJ
Texas Journal of Civil Liberties & Civil Rights	Tex. J. on C.L. & C.R.	Tex J on CL & CR
Texas Journal of Women and the Law	Tex. J. Women & L.	Tex J Women & L
Texas Law Review	Tex. L. Rev.	Tex L Rev
Texas Review of Entertainment & Sports Law	Tex. Rev. Ent. & Sports L.	Tex Rev Ent & Sports L
Texas Review of Law & Politics	Tex. Rev. L. & Pol.	Tex Rev L & Pol
Texas Tech Journal of Texas Administrative Law	Tex. Tech J. Tex. Admin. L.	Tex Tech J Tex Admin L
Texas Tech Law Review	Tex. Tech L. Rev.	Tex Tech L Rev
Texas Wesleyan Law Review	Tex. Wesleyan L. Rev.	Tex Wesleyan L Rev
Thomas Jefferson Law Review	T. Jefferson L. Rev.	T Jefferson L Rev
Thomas M. Cooley Journal of Practical and Clinical Law	T.M. Cooley J. Prac. & Clin. L.	TM Cooley J Prac & Clin L
Thomas M. Cooley Law Review	T.M. Cooley L. Rev.	TM Cooley L Rev
Thurgood Marshall Law Review	T. Marshall L. Rev.	T Marshall L Rev
Tort Trial & Insurance Practice Law Journal	Tort Trial & Ins. Prac. L.J.	Tort Trial & Ins Prac LJ
Touro International Law Review	Touro Int'l L. Rev.	Touro Int'l L Rev
Touro Law Review	Touro L. Rev.	Touro L Rev
Transactions: The Tennessee Journal of Business Law	Transactions	Transactions
Transnational Law & Contemporary Problems	Transnat'l L. & Contemp. Probs.	Transnat'l L & Contemp Probs
Transnational Lawyer	Transnat'l Law.	Transnat'l Law
Transportation Law Journal	Transp. L.J.	Transp LJ
Tulane Environmental Law Journal	Tul. Envtl. L.J.	Tul Envtl LJ
Tulane European and Civil Law Forum	Tul. Eur. & Civ. L.F.	Tul Eur & Civ LF
Tulane Journal of International and Comparative Law	Tul. J. Int'l & Comp. L.	Tul J Int'l & Comp L
Tulane Journal of Technology and Intellectual Property	Tul. J. Tech. & Intell. Prop.	Tul J Tech & Intell Prop
Tulane Law Review	Tul. L. Rev.	Tul L Rev
Tulane Maritime Law Journal	Tul. Mar. L.J.	Tul Mar LJ
Tulsa Journal of Comparative and International Law	Tulsa J. Comp. & Int'l L.	Tulsa J Comp & Int'l L
Tulsa Law Review	Tulsa L. Rev.	Tulsa L Rev
UC Davis Journal of Juvenile Law & Policy	UC Davis J. Juv. L. & Pol'y	UC Davis J Juv L & Pol'y
U.C. Davis Law Review	U.C. Davis L. Rev.	UC Davis L Rev
UCLA Asian Pacific American Law Journal	UCLA Asian Pac. Am. L.J.	UCLA Asian Pac Am LJ
UCLA Entertainment Law Review	UCLA Ent. L. Rev.	UCLA Ent L Rev
UCLA Journal of Environmental Law & Policy	UCLA J. Envtl. L. and Pol'y	UCLA J Envtl L and Pol'y
UCLA Journal of International Law and Foreign Affairs	UCLA J. Int'l L. & Foreign Aff.	UCLA J Int'l L & Foreign Aff
UCLA Journal of Islamic and Near Eastern Law	UCLA J. Islamic & Near E.L.	UCLA J Islamic & Near EL
UCLA Law Review	UCLA L. Rev.	UCLA L Rev
UCLA Pacific Basin Law Journal	UCLA Pac. Basin L.J.	UCLA Pac Basin LJ
UCLA Women's Law Journal	UCLA Women's L.J.	UCLA Women's LJ
UMKC Law Review	UMKC L. Rev.	UMKC L Rev
United States-Mexico Law Journal	U.S.-Mex. L.J.	US-Mex LJ
University of Arkansas at Little Rock Law Review	U. Ark. Little Rock L. Rev.	U Ark Little Rock L Rev
University of Baltimore Intellectual Property Law Journal	U. Balt. Intell. Prop. L.J.	U Balt Intell Prop LJ
University of Baltimore Journal of Environmental Law	U. Balt. J. Envtl. L.	U Balt J Envtl L
University of Baltimore Law Review	U. Balt. L. Rev.	U Balt L Rev
University of California Davis Journal of International Law and Policy	U.C. Davis J. Int'l L. & Pol'y	UC Davis J Int'l L & Pol'y
University of Chicago Law Review	U. Chi. L. Rev.	U Chi L Rev
University of Chicago Law School Roundtable	U. Chi. L. Sch. Roundtable	U Chi L Sch Roundtable
University of Chicago Legal Forum	U. Chi. Legal F.	U Chi Legal F
University of Cincinnati Law Review	U. Cin. L. Rev.	U Cin L Rev
University of Colorado Law Review	U. Colo. L. Rev.	U Colo L Rev
University of Dayton Law Review	U. Dayton L. Rev.	U Dayton L Rev
University of Denver Water Law Review	U. Denv. Water L. Rev.	U Denv Water L Rev
University of Detroit Mercy Law Review	U. Det. Mercy L. Rev.	U Det Mercy L Rev
University of Florida Journal of Law and Public Policy	U. Fla. J.L. & Pub. Pol'y	U Fla JL & Pub Pol'y
University of Hawaii Law Review	U. Haw. L. Rev.	U Haw L Rev
University of Illinois Journal of Law, Technology & Policy	U. Ill. J.L. Tech. & Pol'y	U Ill JL Tech & Pol'y
University of Illinois Law Review	U. Ill. L. Rev.	U Ill L Rev
University of Kansas Law Review	U. Kan. L. Rev.	U Kan L Rev
University of Maryland Law Journal of Race, Religion, Gender and Class	U. Md. L.J. Race Relig. Gender & Class	U Md LJ Race Relig Gender & Class
University of Memphis Law Review	U. Mem. L. Rev.	U Mem L Rev
University of Miami Business Law Review	U. Miami Bus. L. Rev.	U Miami Bus L Rev
University of Miami Entertainment & Sports Law Review	U. Miami Ent. & Sports L. Rev.	U Miami Ent & Sports L Rev
University of Miami Inter-American Law Review	U. Miami Inter-Am. L. Rev.	U Miami Inter-Am L Rev
University of Miami Law Review	U. Miami L. Rev.	U Miami L Rev
University of Michigan Journal of Law Reform	U. Mich. J.L. Reform	U Mich JL Reform
University of Pennsylvania Journal of Constitutional Law	U. Pa. J. Const. L.	U Pa J Const L
University of Pennsylvania Journal of International Economic Law	U. Pa. J. Int'l Econ. L.	U Pa J Int'l Econ L
University of Pennsylvania Journal of Labor and Employment Law	U. Pa. J. Lab. & Emp. L.	U Pa J Lab & Emp L
University of Pennsylvania Law Review	U. Pa. L. Rev.	U Pa L Rev
University of Pittsburgh Law Review	U. Pitt. L. Rev.	U Pitt L Rev
University of Richmond Law Review	U. Rich. L. Rev.	U Rich L Rev
University of San Francisco Journal of Law & Social Challenges	U.S.F. J.L. & Soc. Challenges	USF JL & Soc Challenges
University of San Francisco Law Review	U.S.F.L. Rev.	USFL Rev
University of San Francisco Maritime Law Journal	U.S.F. Mar. L.J.	USF Mar LJ
University of St. Thomas Law Journal	U. St. Thomas L.J.	U St Thomas LJ
University of the District of Columbia Law Review	U.D.C. L. Rev.	UDC L Rev
University of Toledo Law Review	U. Tol. L. Rev.	U Tol L Rev
Urban Lawyer	Urb. Law.	Urb Law
Utah Law Review	Utah L. Rev.	Utah L Rev
Valparaiso University Law Review	Val. U. L. Rev.	Val U L Rev
Vanderbilt Journal of Entertainment & Technology Law	Vand. J. Ent. & Tech. L.	Vand J Ent & Tech L
Vanderbilt Journal of Transnational Law	Vand. J. Transnat'l L.	Vand J Transnat'l L
Vanderbilt Law Review	Vand. L. Rev.	Vand L Rev
Vermont Law Review	Vt. L. Rev.	Vt L Rev
Villanova Environmental Law Journal	Vill. Envtl. L.J.	Vill Envtl LJ
Villanova Journal of Law and Investment Management	Vill. J.L. & Investment Mgmt.	Vill JL & Investment Mgmt
Villanova Law Review	Vill. L. Rev.	Vill L Rev
Villanova Sports & Entertainment Law Journal	Vill. Sports & Ent. L.J.	Vill Sports & Ent LJ
Virginia Environmental Law Journal	Va. Envtl. L.J.	Va Envtl LJ
Virginia Journal of International Law	Va. J. Int'l L.	Va J Int'l L
Virginia Journal of Social Policy & the Law	Va. J. Soc. Pol'y & L.	Va J Soc Pol'y & L
Virginia Journal of Sports and the Law	Va. J. Sports & L.	Va J Sports & L
Virginia Law Review	Va. L. Rev.	Va L Rev
Virginia Tax Review	Va. Tax Rev.	Va Tax Rev
Wake Forest Law Review	Wake Forest L. Rev.	Wake Forest L Rev
Washburn Law Journal	Washburn L.J.	Washburn LJ
Washington and Lee Law Review	Wash. & Lee L. Rev.	Wash & Lee L Rev
Washington and Lee Race and Ethnic Ancestry Law Journal	Wash. & Lee Race & Ethic Anc. L.J.	Wash & Lee Race & Ethic Anc LJ
Washington Law Review	Wash. L. Rev.	Wash L Rev
Washington University Global Studies Law Review	Wash. U. Global Stud. L. Rev.	Wash U Global Stud L Rev
Washington University Journal of Law & Policy	Wash. U. J.L. & Pol'y	Wash U JL & Pol'y
Washington University Law Quarterly	Wash. U. L.Q.	Wash U LQ
Wayne Law Review	Wayne L. Rev.	Wayne L Rev
West Virginia Law Review	W. Va. L. Rev.	W Va L Rev
Western New England Law Review	W. New Eng. L. Rev.	W New Eng L Rev
Western State University Law Review	W. St. U. L. Rev.	W St U L Rev
Whittier Journal of Child and Family Advocacy	Whittier J. Child & Fam. Advoc.	Whittier J Child & Fam Advoc
Whittier Law Review	Whittier L. Rev.	Whittier L Rev
Widener Law Journal	Widener L.J.	Widener LJ
Widener Law Review	Widener L. Review	Widener L Review
Willamette Journal of International Law and Dispute Resolution	Willamette J. Int'l L. & Disp. Resol.	Willamette J Int'l L & Disp Resol
Willamette Law Review	Willamette L. Rev.	Willamette L Rev
William and Mary Bill of Rights Journal	Wm. & Mary Bill of Rts. J.	Wm & Mary Bill of Rts J
William and Mary Environmental Law and Policy Review	Wm. & Mary Envtl. L. & Pol'y Rev.	Wm & Mary Envtl L & Pol'y Rev
William and Mary Journal of Women and the Law	Wm. & Mary J. Women & L.	Wm & Mary J Women & L
William and Mary Law Review	Wm. & Mary L. Rev.	Wm & Mary L Rev
William Mitchell Law Review	Wm. Mitchell L. Rev.	Wm Mitchell L Rev
Wisconsin International Law Journal	Wis. Int'l L.J.	Wis Int'l LJ
Wisconsin Law Review	Wis. L. Rev.	Wis L Rev
Wisconsin Women's Law Journal	Wis. Women's L.J.	Wis Women's LJ
Women's Rights Law Reporter	Women's Rts. L. Rep.	Women's Rts L Rep
Wyoming Law Review	Wyoming L. Rev.	Wyoming L Rev
Yale Human Rights & Development Law Journal	Yale Hum. Rts. & Dev. L.J.	Yale Hum Rts & Dev LJ
Yale Journal of Health, Policy, Law, and Ethics	Yale J. Health Pol'y L. & Ethics	Yale J Health Pol'y L & Ethics
Yale Journal of International Law	Yale J. Int'l L.	Yale J Int'l L
Yale Journal of Law and Feminism	Yale J.L. & Feminism	Yale JL & Feminism
Yale Journal of Law & the Humanities	Yale J.L. & Human.	Yale JL & Human
Yale Journal on Regulation	Yale J. on Reg.	Yale J on Reg
Yale Law & Policy Review	Yale L. & Pol'y Rev.	Yale L & Pol'y Rev
Yale Law Journal	Yale L.J.	Yale LJ
