WORD	ABBREVIATION	LANGUAGES
descrizión-	descr.	Italian
descubri-	descub.	Spanish
descubrir	descub.	Spanish
desegreg-	desegreg.	English
desempenho		Portuguese
desempleo	desempl.	Portuguese,Spanish
desemprego		Portuguese
Desensibiliserung	Desensibil.	German
desenvolupament	desenvol.	Spanish
desenvolvemento	desenvolv.	Spanish
desenvolvimento	desenvolv.	Portuguese
desequilibr-	desequilib.	Spanish
deserción	deserc.	Spanish
desert		English,French
désertif-	désertif.	French
desgrav-	desgrav.	Spanish
desiderare	desider.	Italian
desierto		Spanish
design-	des.	English,French
designbook	designb.	English
desigual-	desigual.	Spanish
desinfekt-	desinfekt.	German
désinformation	désinf.	French
desintoxic-	desintox.	Multiple Languages
desire		English
desk-		Czech
deskbook	deskb.	English
deskmate		English
Deskriptor-	Deskr.	German
desktop	deskt.	English
deskundig	deskd.	Dutch
desmos		Greek,Modern (1453- )
desocupación	desocup.	Spanish
désordre	désord.	French
despacho		Spanish
despărt̡ământ-	despărt̡ăm.	Romanian
despatch		English
despesa		Portuguese
despido		Spanish
desplegable	despleg.	Spanish
desportivo	desport.	Portuguese
desporto		Spanish
Despotovac	Despot.	Croatian
despreocup-	despreocup.	Spanish
Dessau-	Dessau.	German
dessert		Multiple Languages
dessin-	dessin.	French
dessous		Dutch
des̡teapt-		Romanian
destekli	destek.	Turkish
des̡teptare-		Romanian
destêrro		Portuguese
destil-	destil.	Croatian
destillat-	destill.	Catalan
destin-	destin.	French,Spanish
destiny		English
destructi-	destr.	English,French
destructor-	destr.	English
destrukc-	destr.	Russian
dėstym-	dėst.	Lithuanian
Desvres		French
détacher		French
detail		Dutch
detailed	detail.	English
detailhandel	detailhand.	Dutch
détaillant	détaill.	French
détaillé	détaill.	French
detaillist	detaill.	Dutch
detajhandel	detajhand.	Norwegian
detalʹ		Russian
detalh-	detalh.	Portuguese
detaliczn-	detal.	Polish
detalj-	detalj.	Danish
detaljspridning	detaljspridn.	Swedish
detall-	detall.	Spanish
detalle		Spanish
detect-	detect.	English
detektei	detekt.	Dutch
Detektiv	Detekt.	German
Detektor-	Detekt.	German
détenteur	déten.	French
detention	deten.	English,French
detergen-	deterg.	English,French
détériorat-	détérior.	French
détermin-	déterm.	French
determination	determ.	English
Detmold	Detm.	German
deťom		Slovak
detonikforskning	detonikforsk.	Swedish
détour		French
detoxificat-	detoxif.	English
détresse		French
Detroit		English
detsk-	det.	Russian
detstv-	det.	Russian
dettaglio	dettagl.	Italian
Dettelbach	Dettelb.	German
Dettingen-	Detting.	German
de̢tych		Polish
deuda		Spanish
Deusto		Spanish
deutera		Greek,Modern (1453- )
deuterob-	deuterob.	Greek,Modern (1453- )
Deutsch	Dtsch.	German
deutsche-	dtsch.	German
Deutschland-	Dtschl.	German
Deutschtum	Deutscht.	German
Deux-Sèvres		French
deuxième	deux.	French
devât-		Russian
develop-	dev.	English
développement-	dév.	French
devenir		French
Deventer		Dutch
déversement	dévers.	French
devianc-		English
deviant		English
Devianz		German
deviation	deviat.	English
device		English
deviezenmarkt		Dutch
devinette	devin.	French
Devinière		French
Devise		German
devizn-	deviz.	Serbian
devlet	devl.	Turkish
Devonian		English
Devonshire	Devon.	English
devotion	devot.	English
devotional	devot.	English
devuelto		Spanish
devyniolika		Lithuanian
Dewan		Malay
Dežanov-	Dežan.	Croatian
Dežep-	Dežep.	Czech
Dezernat		German
dezinfekci-	dezinfekc.	Russian
dezvoltare		Romanian
Dhahran		English
Dhanbad		English
Dhaun-	Dhaun.	German
Dhenkanal		English
diabete		Multiple Languages
diabetes		English
diabetic	diabet.	English
diabético	diabét.	Spanish
diabetik-	diabet.	Hungarian
Diabetiker	Diabet.	German
diabétique	diabét.	French
diabetoloģ	diabetol.	Latvian
diabetolog-	diabetol.	Multiple Languages
diabiōs-	diabiōs.	Greek,Modern (1453- )
diabolus	diabol.	Latin
diaconaal	diacon.	Dutch
diaconaat	diacon.	Dutch
diaconia	diacon.	Latin
diacyclglycerols	diacyclglyc.	English
diadikas-	diadik.	Greek,Modern (1453- )
diadosis	diados.	Greek,Modern (1453- )
diadromē	diadr.	Greek,Modern (1453- )
diaeteti-	diaet.	English
diafēmēsē	diafēm.	Greek,Modern (1453- )
diafestival	diafestiv.	Dutch
diafīmis-	diafīm.	Greek,Modern (1453- )
diafor-	diafor.	Greek,Modern (1453- )
diafōt-	diafōt.	Greek,Modern (1453- )
diafylax-	diafyl.	Greek,Modern (1453- )
Diagnos-	Diagn.	Multiple Languages
diagonal-	diagon.	French
diagōnism-	diagōn.	Greek,Modern (1453- )
diagram	diagr.	English
diagrama	diagr.	Bulgarian
diaheir-	diaheir.	Greek,Modern (1453- )
diaitētēs	diait.	Greek,Modern (1453- )
Diaitolog-	Diaitol.	Greek,Modern (1453- )
diákévkönyv	diákévkv.	Hungarian
diákkönyvtár	diákkvt.	Hungarian
diákkör		Hungarian
diákmagazin	diákmag.	Hungarian
diáknaptár		Hungarian
diakoinovouleutik-	diakoinovoul.	Greek,Modern (1453- )
diakonale	diakon.	Dutch
diakonforbund	diakonforb.	Norwegian
diakonforening	diakonforen.	Norwegian
diakonhjem		Norwegian
diakonhjemmet		Norwegian
diakoni		Swedish
Diakoni-	Diakon.	Greek,Modern (1453- )
Diakonia	Diakon.	German
Diakonie	Diakon.	German
diakonische	diakon.	German
diakonissförbund	diakonissförb.	Swedish
diakop-	diakop.	Greek,Modern (1453- )
diakosmēsē	diakosm.	Greek,Modern (1453- )
Diakov-	Diakov.	Latin
diákszövetség	diákszövets.	Hungarian
dialect		English
dialectal	dialect.	French
dialecte		French
dialectical	dialect.	English
dialéctico	dialéct.	Spanish
dialectolog-	dialectol.	Spanish
dialectric	dialectr.	English
dialegoum-	dialeg.	Greek,Modern (1453- )
Dialekt		German
dialektarkiv-	dialektark.	Swedish
dialekti-	dialekt.	Multiple Languages
Dialektogeographie	Dialektogeogr.	German
Dialektographie	Dialektogr.	German
dialektolog-	dialektol.	Multiple Languages
diâlektološki	diâlektol.	Serbian
dialektordböck	dialektordb.	Swedish
dialética	dialét.	Portuguese
dialettale	dialett.	Italian
dialètto		Italian
dialettolog-	dialettol.	Italian
dialex-	dialex.	Greek,Modern (1453- )
diàlis-	diàl.	Italian
dialìt-	dial.	Italian
dialling		English
Dialog		German
dialog-		German,Spanish
dialogisch	dialog.	German
dialogo-		Greek,Modern (1453- )
dialogs		Latvian
dialoog		Dutch
dialys-	dial.	Multiple Languages
diamant-	diam.	French
diamerism-	diameris.	Greek,Modern (1453- )
diamond	diam.	English
diana		Spanish
dianell-	dianell.	Greek,Modern (1453- )
dianetic	dianet.	English
dianétique	dianét.	French
dianooumen-	dianooum.	Greek,Modern (1453- )
diapason		French
diaplas-	diapl.	Greek,Modern (1453- )
diapolitism-	diapolitism.	Greek,Modern (1453- )
diapolitist-	diapolitist.	Greek,Modern (1453- )
diapositive	diaposit.	French
Diareihe		German
diari	d.	Catalan
diario	d.	Spanish
diariusz	diar.	Polish
diarrea		Spanish
diarrhea		English
diarrhéïque		French
diarrhoea		English
diarrhoeal		English
diarthrōtika		Greek,Modern (1453- )
Diarum	D.	German
diary		English
diasēm-		Greek,Modern (1453- )
Diaserie	Diaser.	German
diasked-	diasked.	Greek,Modern (1453- )
diaspora		Multiple Languages
diastasē	diast.	Greek,Modern (1453- )
diastēma		Greek,Modern (1453- )
diastīmopl-	diastīmopl.	Greek,Modern (1453- )
Diät		German
diatagm-	diatagm.	Greek,Modern (1453- )
diatarah-	diatar.	Greek,Modern (1453- )
Diäteti-	Diät.	German
diathèque		French
diathesis	diath.	English
diatomic		English
diatomist		English
diatomolog-	diatomol.	German
diatonisch	diaton.	Dutch
diatriv-	diatriv.	Greek,Modern (1453- )
diatrofē	diatr.	Greek,Modern (1453- )
Diätvorschrift-	Diätvorschr.	German
diavītī-		Greek,Modern (1453- )
diavītolog-	diavītol.	Greek,Modern (1453- )
diavol-	diavol.	Greek,Modern (1453- )
Diawerbung	Diawerb.	German
dibatt-	dibatt.	Italian
diberi		Malay
dibujo		Spanish
dicat-		Latin
diccionario	dicc.	Spanish
dicenda		Latin
dicho		Spanish
dichtbij		Dutch
dichten	dicht.	German
Dichter	Dicht.	German
Dichtmittel	Dichtm.	German
Dichtung	Dicht.	German
dicionário	dic.	Portuguese
Dickdarmerkrankung-	Dickdarmerkr.	German
dicsőség-	dicsős.	Hungarian
dictam-	dictam.	Spanish
dictionary	dict.	English
dictionnaire	dict.	French
dictum		Latin
didacti-	didact.	English,French,Spanish
didah-	didah.	Greek,Modern (1453- )
didakometry	didakom.	English
Didakta		German
didakti-	didakt.	Croatian,German,Greek,Modern (1453- )
didaktor-	didaktor.	Greek,Modern (1453- )
didaktus	didakt.	German
didascalie	didasc.	French
didaskal-	didask.	Multiple Languages
didati-	didat.	Portuguese
didàtt-	didàtt.	Italian
Didcot		English
didmen-	didmen.	Lithuanian
didysis		Lithuanian
Diebstahl		German
Dieburg	Diebg.	German
diecez-	diec.	Polish
diecezană	diec.	Romanian
dieciochista	diecioch.	Spanish
dieetkund-	dieetkd.	Afrikaans
dieetpreparat-	dieetprep.	Dutch
Diego-Suarez		French,Portuguese
dielectric-	dielectr.	English,French
dielectrophore-	dielectrophor.	English,French
dielektri-	dielektr.	German,Russian
dielektryczny	dielektr.	Polish
Diemen		Dutch
diēmer-	diēm.	Greek,Modern (1453- )
dienen	dien.	German
dienrenrecht	dienrenr.	Dutch
diens		Afrikaans
Dienst		German
dienst-		Dutch,German
Dienstbereich		German
Dienstbezug		German
dienstenbond		Dutch
dienstjaar		Dutch
dienstjaarrekening	dienstjaarreken.	Dutch
Dienstleistung	Dienstleist.	German
dienstplichtig-	dienstplicht.	Dutch
Dienstrecht	Dienstr.	German
Dienststelle		German
dienstverband	dienstverb.	Dutch
dienstverlenende	dienstverlen.	Dutch
dienstverlening	dienstverl.	Dutch
dienstweiger-	dienstweiger.	Dutch
diente		Spanish
Diepenheim	Diepenh.	Dutch
Diepholz		German
diepistēmonik-	diepistēm.	Greek,Modern (1453- )
Dieppe		French
dierbenodigheid	dierbenodighd.	Dutch
dierenartsen		Dutch
dierenartsenvereniging	dierenartsenver.	Dutch
dierenbescherming	dierenbescherm.	Dutch
dierenleed		Dutch
dierenrecht	dierenr.	Dutch
dierenteelt-	dierent.	Dutch
diereun-	diereun.	Greek,Modern (1453- )
diergeneeskund-	diergeneeskd.	Dutch
dierkund-	dierkd.	Dutch
dierlijk-	dierl.	Dutch
dieroecologie	dieroecol.	Dutch
dierplaag-		Dutch
diersoort-		Dutch
diervoeder		Dutch
diesel		English,French
Dieselmedaille		German
Dieselmotor	Dieselmot.	German
Diespeck		German
Diessen		Dutch
diestro		Spanish
diet'a		Slovak
dietary	diet.	English
dieťaťa		Slovak
Dietersheim	Dietersh.	German
dietet-	diet.	Multiple Languages
diethn-	dieth.	Greek,Modern (1453- )
dietilpirougolʹn-	dietilpirougolʹn.	Russian
diëtist-	diëtist.	Dutch
dietitian	dietit.	English
dietolog-	dietol.	Multiple Languages
dietoterap-	dietoter.	Russian
dietsche		Dutch
Dietzenbach	Dietzenb.	German
dieuthuns-	dieuth.	Greek,Modern (1453- )
dievča		Slovak
diferen-	difer.	Spanish
difésa	dif.	Italian
Diffamierung	Diffam.	German
differen-	differ.	English,French
difficoltá	diffic.	Italian
difficulté	diffic.	French
difficulty	diffic.	English
diffraction	diffr.	English,French
diffractometer-	diffractom.	English
diffus-	diffus.	French
diffuziâ	diffuz.	Russian
difrakcâ	difr.	Russian
difrakcionny	difr.	Russian
difusão	difus.	Portuguese
difusió	difus.	Catalan
difusión	difus.	Spanish
difusor	difus.	Spanish
digerènte	dig.	Italian
digest-	dig.	English,French
digestológic-	digestol.	Spanish
digger		English
digit-	digit.	Multiple Languages
diglossie	digloss.	French
dign-	dign.	French
Digne		French
digtning	digtn.	Danish
dihydroxyvitamin	dihydroxyvitam.	English
dijabet-	dijabet.	Croatian
dijak		Slovenian
dijalektološki	dijalektol.	Bosnian
dijaliz-	dijal.	Croatian
dijalozi		Macedonian
díjaz-	díjaz.	Hungarian
dijeta		Bosnian
díjnyertes	díjnyert.	Hungarian
dijonnais	dijon.	French
dikaio		Greek,Modern (1453- )
dikaiōma-	dikaiōm.	Greek,Modern (1453- )
dikaion		Greek,Modern (1453- )
dikaiosunē	dikaios.	Greek,Modern (1453- )
dikast-	dikast.	Greek,Modern (1453- )
dikīgor-	dikīg.	Greek,Modern (1453- )
Diklat		Indonesian
dikobraz		Czech
dikono-	dikonom.	Greek,Modern (1453- )
dikorastuŝij	dikorast.	Russian
diktare		Swedish
diktere		Danish
Diktiergerät		German
diktning	diktn.	Swedish
dilanggan	dilangg.	Indonesian
dilema		Multiple Languages
diligence	dilig.	English,French
Dillenburg	Dillenbg.	German
dilleri	dil.	Turkish
Dillingen	Dill.	German
Dillkreis	Dillkr.	German
dimanche		French
dimēniai-	dimēn.	Greek,Modern (1453- )
dimens-	dimens.	Portuguese
dimension	dimens.	English,French
dimensione	dimens.	Italian
dimenticat-	diment.	Italian
dimenzió	dimenz.	Hungarian
dimineat̡-	dimin.	Romanian
dīmiourg-	dīmiourg.	Greek,Modern (1453- )
Dīmokriteio-	Dīmokrit.	Greek,Modern (1453- )
Dinaburg	Dinabg.	Latvian
Dinamarca	Dinam.	Danish
dinami-	din.	Russian
dinamo		Multiple Languages
dínamo		Spanish
dinero		Spanish
diners		Danish
Dingden-	Dingden.	German
dingen		Dutch
dinghy		English
dining		English
dinner	dinn.	English
dinoflagellat-	dinoflag.	English
dinosaur-	dinosaur.	English
Dinslaken		German
dintórno		Italian
Dinxperlo		Dutch
diocesan	dioc.	English
diocèse	dioc.	French
diocesis	dioc.	Latin
Dioden		German
dioecesis	dioec.	Latin
dioikē-	dioik.	Greek,Modern (1453- )
dioikēt-	dioik.	Greek,Modern (1453- )
dionič-	dion.	Croatian
Diósberény	Dberény.	Hungarian
Diósgyőr	Dgyőr.	Hungarian
dioxide		Multiple Languages
Diözese	Diöz.	German
dipartiménto	dip.	Italian
dipenden-	dipend.	Italian
diplē		Greek,Modern (1453- )
Diplom		German
diploma		Spanish
diplomácia	dipl.	Hungarian
diplomacy	dipl.	English
diplomad-	diplom.	Spanish
Diplomandenkolloquium	Diplomandenkolloqu.	German
Diplomarbeit-	Diplomarb.	German
diplomat-	dipl.	Multiple Languages
diplôme		French
diplomn-	diplom.	Russian
diploms-	diplom.	Croatian
dipòsit	dipòs.	Catalan
dipper		English
dipterist	dipter.	English
Dipterolog-	Dipterol.	German
diptuh-	dipt.	Greek,Modern (1453- )
diputa-	diput.	Spanish
direcç-	dir.	Portuguese
direcció	dir.	Catalan
dirección	dir.	Spanish
direci-	dir.	Portuguese
direct		Multiple Languages
directa		Spanish
directed	dir.	English
directeur	dir.	French
directi-	dir.	English,French
directiebeleid	directiebel.	Dutch
directo		Spanish
director-	dir.	English,French
direito		Portuguese
direkc-	dir.	Russian
direksjon	dir.	Norwegian
direkt		German
Direktabbildung	Direktabb.	German
Direktinvestition	Direktinvest.	German
Direktion	Dir.	German
Direktor-	Dir.	German
diretor-	dir.	Portuguese
diretriz	dir.	Portuguese
diretto		Italian
direttor-	dir.	Italian
direzión-	dir.	Italian
dirgantara	dirgant.	Indonesian
dirgerin		Turkish
dirigeant	dir.	French
dirigente	dir.	Spanish
dirigenza	dir.	Italian
diriger	dir.	French
diritto	dirit.	Italian
dirvožem-	dirvožem.	Lithuanian
disabilit-	disabil.	English
disabled	disabl.	English
disaccharide	disacch.	English
disadvantage	disadv.	English
disarm-	disarm.	English
disaster		English
disbursement-	disburse.	English
discapacidad	discapac.	Spanish
discapacitado	discapac.	Spanish
discente		Portuguese
discern-	discern.	English
discharge	disch.	English
discipl-	discipl.	English,French,Italian
discipleship	disciplesh.	English
disciplin-	discip.	English,French
discipulo		Spanish
discjockey		Swedish
disclosure-	discl.	English
Disco		German
discography	discogr.	English
discontinued	discontin.	English
discotèca	discot.	Italian,Spanish
discotheek	discoth.	Dutch
discothèque	discoth.	French
discount-	discount.	English
discours		French
discourse		English
discover-	discov.	English
discrecion-	discrec.	Spanish
discret-	discret.	English,French
discrimin-	discrim.	Multiple Languages
discurso		Spanish
Discus		German
discusión	discus.	Spanish
discussi-	discuss.	English,French
disease-	dis.	English
disegn-	disegn.	Italian
disegno		Italian
disemin-	disem.	Portuguese
diseñ-	diseñ.	Spanish
diseño		Spanish
disertace	disert.	Czech
disertaci-	disert.	Croatian
dişhekimli-	dişhekim.	Turkish
disinfect-	disinfect.	English
disinfezion-	disinfez.	Italian
disinquinament-	disinquin.	Italian
disk-	disk.	Lithuanian
diskette		Multiple Languages
diskmagazine	diskmag.	Dutch
Disko		German
diskografi	diskogr.	Swedish
diskret		German
diskretn-	diskretn.	Russian
diskrimin-	diskrim.	Russian
Diskurs		German
diskurs-	diskurs.	Lithuanian
Diskus		German
diskusi		Indonesian
diskusije	diskus.	Serbian
diskusjonsnotat		Norwegian
diskusn-	diskus.	Czech
diskussi-	diskuss.	German
dismissal	dismiss.	English
dismorfologia	dismorfol.	Italian
disoccupazione	disoccup.	Italian
disorder-	disord.	English
disovo		Serbian
dispanser	dispans.	Turkish
dispanzer	dispanz.	Croatian
disparaître	dispar.	French
disparité		French
disparition	dispar.	English,French
disparu		French
dispatch		English
dispendio		Portuguese
dispens-	dispens.	English,French
dispersion	dispers.	Multiple Languages
dispersnyj	dispers.	Russian
dispetcheriz-	dispetcher.	English
displac-	displac.	English
display	disp.	English
disponib-	dispon.	English,French
disponibilidad	dispon.	Spanish
disponivel	dispon.	Portuguese
disposable	dispos.	Multiple Languages
disposal	dispos.	English
disposición	dispos.	Spanish
disposit-	dispos.	English,French
disposizione	dispos.	Italian
dispozit̡-	dispoz.	Romanian
disput-	disput.	Multiple Languages
disqu-	disq.	French
disquisitio	disquis.	Latin
disruption	disrupt.	English
Disruptive	Disrupt.	English
dissatisf-		English
dissemination	dissem.	English,French
dissent		English
dissenting	dissent.	English
disseny		Catalan
disserta-	diss.	English,French
dissidere	dissid.	Latin
dissimul-	dissim.	French
disszertáció	dissz.	Hungarian
distance		English,French
distancia		Spanish
distante		Portuguese
distill-	distill.	English,French
distinción	distinc.	Spanish
distinction	distinct.	English,French
distinguido	disting.	Spanish
distinguish-	disting.	English
distint-	distint.	Spanish
distopía	distop.	Spanish
distress		English
distribu-	distrib.	Spanish
District of Columbia	D.C.	English
district-	dist.	English,French
distrikt	dist.	Norwegian
distriktsblade	distriktsbl.	Danish
distriktshøgskole	distriktshøgsk.	Norwegian
distriktskontor		Norwegian
distriktstall		Norwegian
distrital	dist.	Portuguese,Spanish
distrito	dist.	Portuguese,Spanish
distrofi-		Italian
disturbance	disturb.	English
disturbed	disturb.	English
distúrbio	distúrb.	Portuguese
Disziplin-	Diszip.	German
dísznövény	dísznöv.	Hungarian
Dithmarschen		German
Ditzingen	Ditzing.	German
Diureseforschung	Diureseforsch.	German
diuretic	diuret.	English
diurno		Spanish
divad-	divad.	Czech
divadeln-	divad.	Slovak
divadlo	divad.	Czech
divák		Czech
divanı		Turkish
divers-	divers.	English,French
diversificación	diversif.	Spanish
diversification	diversif.	English
diverso		Portuguese
divertimento	divertim.	Italian
divertisment	divertis.	Romanian
divertissement	divertiss.	French
divest-	divest.	English
divid-	divid.	English
divinatoire	divin.	French
divine		English
diving		English
divinity	divin.	English
divinus		Latin
divis-	div.	English,French
divisa		Spanish
divorce		English,French
divorcio		Spanish
divorzio		Italian
divulga-	divulg.	Spanish
dix-huitièm-	dix-huit.	French
dix-neuvième	dix-neuv.	French
dix-septièm-	dix-sept.	French
diyaliz	diyal.	Turkish
dizain-	dizain.	Lithuanian
dizajn-	dizajn.	Bulgarian,Latvian,Russian
dizayn		Turkish
Dizdarević		Bosnian
dizelʹn-	dizelʹn.	Russian
dizertačn-	dizert.	Czech
dizi-		Turkish
dizionàri-	diz.	Italian
Djakarta		Multiple Languages
Djakovensis	Djakov.	Latin
djeca		Croatian
dječji-	dječ.	Croatian
djelat-	djelat.	Croatian
djelatnost	djelat.	Croatian
djelo		Croatian
djemaat		Indonesian
djenderal	djen.	Indonesian
djetinjstvo	djetinj.	Croatian
Djibouti		French
djuphavsexpedit-	djuphavsexped.	Swedish
djurförsök	djurförs.	Swedish
djurskydd		Swedish
djurskyddsförening	djurskyddsfören.	Swedish
dlitelʹnyj		Russian
dmitrovsk-	dmitr.	Russian
dnepropetrovsk-	dnepropetr.	Russian
dneprovsk-	dnepr.	Russian
dnes-	dnes.	Slovak
dnevnik	dnev.	Russian
dnipropetrovsʹk-	dnipropetr.	Ukrainian
dniprovsʹk-	dnipr.	Ukrainian
dobavlen-	dobav.	Russian
Döbeln-	Döbeln.	German
doberman		French
Dobermann		German
dobiv-		Serbian
doble		Spanish
dobojs-	doboj.	Croatian
dobrav-	dobrav.	Croatian
dobré		Slovak
dobri		Croatian
Dobrog-	Dobrog.	Romanian
dobromiejsk-	dobromiej.	Polish
dobrov-	dobrov.	Russian
dobrovolon-	dobrovol.	Slovak
Dobrudscha		German
dobrý		Slovak
dobrye		Russian
dobyča		Russian
docencia		Spanish
docent		Dutch
docente		Spanish
docete		Latin
docház-	docház.	Czech
dochód		Polish
dôchodok		Slovak
docimolog-	docimol.	French
docinformation	docinf.	French
docket		English
docklands	dockl.	English
dockteater		Swedish
Docteur	Dr.	French
doctor-	dr.	English,French,Spanish
doctrin-	doctrin.	French,Spanish
doctrina		Spanish
document-	doc.	Spanish
documentazione	doc.	Italian
dodatek	dod.	Polish
dōdekanēs-	dōdekan.	Greek,Modern (1453- )
dødelighet	dødelh.	Norwegian
dodiplomski	dodipl.	Slovenian
dodiplomskog	dodipl.	Bosnian
dōdōnē		Greek,Modern (1453- )
dødsårsag	dødsårs.	Danish
doeboek	doeb.	Dutch
doelgroep	doelgr.	Dutch
doelmatig-	doelm.	Dutch
doeltreff-	doeltreff.	Dutch
doença		Portuguese
doende		Dutch
Doesborgh		Dutch
Doesburg	Doesbg.	Dutch
Doetinchen		Dutch
događaj-	događ.	Serbian
dogan-		Italian
Dogma		German
Dogmatik	Dogmat.	German
dogmatisch	dogmat.	German
Dogmengeschichte	Dogmengesch.	German
dogovor-	dogovor.	Russian
doğru		Turkish
dohányipar	dohányip.	Hungarian
dohánykutató	dohánykut.	Hungarian
dohánytermesztés	dohánytermeszt.	Hungarian
dohányújság	dohányújs.	Hungarian
dohoci	doh.	Serbian
dohodak	doh.	Croatian
doing		English
dokim-	dokim.	Greek,Modern (1453- )
Dokkum		Dutch
Dokkumer		Dutch
doklad-	dokl.	Russian
dokončeni	dokonč.	Czech
dokter	dr.	Dutch
doktor	dr.	Norwegian
doktorski	dr.	Croatian
dokumen	dok.	Indonesian
Dokument-	Dok.	German,Russian
dokumentumelemzés	dokelemz.	Hungarian
dokumentumtár	doktár.	Hungarian
dokumentunfilm	dokfilm.	Hungarian
dokumint-	dok.	
dokuz		Turkish
Dølaringen		Norwegian
Dolbeau		English
dolciàrio	dolc.	Italian
Dolderse		Dutch
dølehest		Norwegian
dolenjsk-	dolenj.	Slovenian
dolgovečnost	dolgoveč.	Russian
dolgoz-	dolg.	Hungarian
Dolianit-	Dolian.	Greek,Modern (1453- )
dolina	dol.	Slovenian
dollar		Multiple Languages
Dollard des Ormeaux	Dollard Ormeaux	French
dollarwise	dollarw.	English
Dolmen		Multiple Languages
Dolmetscher	Dolmetsch.	German
dolnośla̢ski-	dolnośl.	Polish
dolnym		Polish
Dolomiten	Dolomit.	German
dolor		Spanish
domać-	domać.	Croatian
domác-	domác.	Czech
domaci		Serbian
domačinstv-	domač.	Serbian
domain		English
domaine		French
domani		Italian
domanial	doman.	French
domare		Swedish
domaš-		Bulgarian,Russian
dōmatio		Greek,Modern (1453- )
Domažlice		Czech
Domblatt	Dombl.	German
domein		Dutch
domen-	domen.	Russian
doménic-	domén.	Italian
domenn-		Russian
domesti-	domest.	English,French
dometi		Croatian
domicil-	domic.	French
domik-	domik.	Greek,Modern (1453- )
domina-	domin.	French
domingo		Spanish
Dominica		German
dominicain	dominic.	French
dominical		Spanish
dominican-	dominic.	English,French
Dominikan-	Dominik.	German
Dominikanische	Dominik.	German
dominio		Spanish
dominion	dom.	English,French
domino		Multiple Languages
Domkapitel	Domkapit.	German
domkirke		Norwegian
Domkirkeodden		Norwegian
dommage		French
domme		Spanish
dommer		Norwegian
domnesc	domn.	Romanian
domobran-	domobran.	Croatian
Domokou	Domok.	Greek,Modern (1453- )
domos		Greek,Modern (1453- )
domostroen-	domostr.	Russian
domótica	domót.	Spanish
domov		Slovak
domovi	dom.	Croatian
domovin-	domov.	Croatian
domoviny	domov.	Slovak
domowych	domow.	Polish
domsk-	dom.	Croatian
domssamling	domssaml.	Norwegian
domstol	domst.	Danish
Domtar		French
domus		Latin
Don-Mills		English
donanım	donan.	Turkish
donante		Spanish
donateur	donat.	French
Donau		German
Donauesching	Donauesch.	German
Donauforschung	Donauforsch.	German
Donauland	Donaul.	German
Donauraum		German
Donauschwäbisch	Donauschwäb.	German
Donausymposium-	Donausymp.	German
Donautal		German
Donauwörth		German
Doncaster		English
doneck-	doneck.	Russian
Donegal		English
dönem-	dönem.	Turkish
Dongen		Dutch
Donja Stubica	Donja Stub.	Croatian
donjomeđimur-	donjomeđimur.	Croatian
donjon		French
donker		Dutch
donkey		English
donna		Italian
donnée		French
Donnybrook		English
Donostia		Spanish
donostiarra	donost.	Spanish
donskoj	don.	Russian
döntés	dönt.	Hungarian
döntőbíráskodás	döntőbírásk.	Hungarian
döntőbizottság	döntőbiz.	Hungarian
döntvény	dönt.	Hungarian
döntvénytár	dönttár.	Hungarian
donum		Latin
Doobally		English
doodl-	doodl.	English
doodsoorzak-		Dutch
doof-blinden	doof-blind.	Dutch
doopsgezind	doopsgez.	Dutch
doorbraak		Dutch
doorkijkboek	doorkijkb.	Dutch
doorlopend	doorlop.	Dutch
doorloper	doorlop.	Dutch
doorloperboek	doorloperb.	Dutch
doorloperbundel	doorloperbund.	Dutch
doorstroom		Dutch
doorvoer		Dutch
Doorwerth		Dutch
doplňovačky	doplňov.	Slovak
dopolnen-	dop.	Russian
dopolnit-	dop.	Russian
dopovyid-	dopov.	Ukrainian
doprava		Czech
dopravn-	doprav.	Czech
dopravoprojekt	dopravoproj.	Slavic (Other)
dopuŝ-	dopuŝ.	Russian
dopuszcz-	dopuszcz.	Polish
dorado		Dutch
doradzt-	doradz.	Polish
Dordrecht	Dordr.	Dutch
Dorfkirchenfreund		German
Dorfmark		German
Dorfsippenbuch	Dorfsippenb.	German
Dorking	Dork.	English
Dormagen		German
Dörnberg	Dörnb.	German
Dornbusch		German
doroga		Russian
dorosł-	doros.	Polish
dorožn-	dorožn.	Russian
Dorpat		German
dorpatens-	dorpat.	Latin
dorpen		Dutch
dorpskrant		Dutch
dorpsnieuws		Dutch
dorsal	dors.	French
Dorschkamp		Dutch
Dorset		English
Dorsten		German
Dortmund	Dortm.	German
Dortmunder	Dortm.	German
dorure		French
doryfor-	doryf.	Greek,Modern (1453- )
dosage	dos.	French
dosežek	dosež.	Slovenian
dosieren	dos.	German
dosimetr-	dosim.	Multiple Languages
Dosimetrie	Dosim.	German
doškol-	došk.	Czech
doskon-	dosk.	Polish
doslìd-	dosl.	Ukrainian
dospěl-	dospěl.	Czech
dossier	doss.	French
dostav-	dostav.	Russian
doste̢p-	doste̢p.	Polish
dostign-	dostig.	Croatian
dostižen-	dostiž.	Russian
doświadcz-	dośw.	Polish
dotaz-	dot.	Czech
Dotternhausen	Dotternhaus.	German
dottignien	dottign.	French
dottóre	dr.	Italian
dottrina		Italian
Dotzheim	Dotzh.	German
Douaisis		Latin
douan-	douan.	French
doublage	doubl.	French
double		French
Doubleday		English
doubt-	doubt.	English
douceur		French
