AAS Photo Bulletin	AASPB
AN BSSR Institut Teplo i Massoobmena Vsesoiuznaia Konferentsiia Teplomassoobmenu Minsk Belorussian SSR Preprint	BSSR
Budapest Akademiai Kiado	BuAkK
Bulgarian Geophysical Journal	BlGJ
Bulgarian Journal of Meteorology and Hydrology	BlJMH
Bulgarian Journal of Physics	BlJPh
Bulgarska Akademiia Naukite Geofizichni Institut Izvestiia	BlGeo
Bulgarska Akademiia Naukite Institut Tekhnicheska Kibernetika Izvestiia	BlTek
Bulgarska Akademiia Naukite Matematicheski Institut Izvestiia	BlMat
Bulgarska Akademiia Naukite Spisanie	BlSpi
Bulgarska Akademiia Naukite Tsentralna Laboratoriia Geodeziia Izvestiia	BlTse
Bulgarsko Geofizichno Spisanie	BlGSp
Bull. Special Astrophys. Obs.	BSAO
Bulletin Astronomique	BuAst
Bulletin Astronomique de Belgrade	BABel
Bulletin Crimean Astrophysical Observatory	BCrAO
Bulletin de la Societe Astronomique de France	BSAF
Bulletin de la Societe Royale des Sciences de Liege	BSRSL
Bulletin de la Station Astrophotographique de Mainterne	BMai
Bulletin de l'Academie Polonaise des Sciences Series des Sciences Mathematiques Astronomiques et Physiques	BAPSS
Bulletin de l'Academie Royale de Belgique	BARB
Bulletin de l'Association Francaise d'Observateurs d'Etoiles Variables	AFOEV
Bulletin de l'Observatoire Astronomique de Belgrade	BOBeo
Bulletin de l'Observatoire de Lyon	LyoBu
Bulletin der Bedeckungsveraenderlichen-Beobachter der Schweizerischen Astronomischen Gesellschaft	BBSAG
Bulletin d'Information du Centre de Donnees Stellaires	BICDS
Bulletin d'information du telescope Canada-France-Hawaii	BCFHT
Bulletin Geodesique	BGeod
Bulletin Horaire du Bureau International de l'Heure	BuBIH
Bulletin (Izvestiya) de l'Observatoire Central a Poulkovo	BOPul
Bulletin Mathematique	BuMat
Bulletin of the American Association of Petroleum Geologists	BAAPG
Bulletin of the American Association of Variable Stars Observers	BAVSO
Bulletin of the American Astronomical Society	BAAS
Bulletin of the American Physical Society	BAPS
Bulletin of the Astronomical Institutes of the Netherlands	BAN
Bulletin of the Astronomical Institutes of the Netherlands Supplement Series	BANS
Bulletin of the Astronomical Institutes of Czechoslovakia	BAICz
Bulletin of the Astronomical Observatoire Royale de Belgique	BAORB
Bulletin of the Astronomical Observatory of the University of Illinois	IllOB
Bulletin of the Astronomical Society of Brazil	BASBr
Bulletin of the Astronomical Society of India	BASI
Bulletin of the Israel Physical Society	BuIPS
Bulletin of the Kobe Marine Observatory Kobe Japan	BKobO
Bulletin of the London Mathematical Society	BuLMS
The Bulletin of the Seismological Society of America	BuSSA
Bulletin of the Tokyo Astronomical Observatory	BTok
Bulletin of the Tokyo Institute of Technology	BToIT
Bulletin of the University of Besancon Observatory	BUBes
Bulletin of the Yamagata University Yamagata Japan	BYam
Bulletin of the Yerkes Observatory of the University of Chicago	YerOB
Bulletin of Korean Astronomical Society	BKoAS
Bulletin of Mathematical Biology	BMBio
Bulletin of Mathematical Biophysics	BMBp
Bulletin of Pure and Applied Science (Physics)	BPAS
Bulletin of Volcanology	BVol
Bulletin Signaletique - Centre National de la Recherche Scientifique	BCNRS
Bylgarska Akademiya Naukite Dokladi	BAND
Byulleten' Instituta Astrofiziki Dushanbe Akademiya Nauk Tadzhikskoj SSR	BDus
Byulleten' Instituta Teoreticheskoj Astronomii (Leningrad)	BITA
Byulleten' Stalinabadskoj Astronomicheskoj Observatorii Akademiya Nauk Tadzhikskoj SSR	BStaO
Byurakan Astrophysical Observatory Armenia USSR Reprints	ByuRe
Byurakanskaya Astrofizicheskaya Observatoriya Preprint	ByuPr
Cambridge Astrophysics Series	CAS
Cambridge Contemporary Astrophysics	CCA
Cambridge Observatories Reprints	CamRe
Cambridge Studies in Low Temperature Physics	CSLPT
Cambridge Topics in Mineral Physics and Chemistry	CTMPC
Canada National Research Council Division Mechanical Engineering National Aeronautical Establishment Quarterly Bulletin	BCNRC
Canadian Aeronautics and Space Journal	CASJ
Canadian Aeronautics and Space Journal Quarter	CASJQ
Canadian Electrical Engineering Journal	CEEJ
Canadian Geotechnical Journal	CaGeJ
Canadian Information Processing Society Graphics Interface	CIPSG
Canadian Journal of Chemical Engineering	CJChE
Canadian Journal of Chemistry	CaJCh
Canadian Journal of Civil Engineering	CaJCE
Canadian Journal of Earth Sciences	CaJES
Canadian Journal of Electrical Computer Engineering	CJECE
Canadian Journal of Mathematics	CJMat
Canadian Journal of Physics	CaJPh
Canadian Journal of Remote Sensing	CaJRS
Canadian Journal of Research Section A	CJRA
Canadian Journal of Soil Science	CaJSS
Cape Photographic Durchmusterung	CPhD
Caries Research	CarR
Carnegie Institute Washington D.C. Publication	GCRV
Carter Observatory Wellington New Zealand Astronomical Bulletins	CarOB
Carter Observatory Wellington New Zealand Reprints	CarRe
Case Western Reserve University Warner and Swasey Observatory Cleveland Ohio Reprints	CasRe
CASI Transactions	CASI
Catalogue of suspected variable stars. Acad. of Sciences USSR Shternberg.	CSVS
Catalysis Letters	CatL
Catalysis Reviews	CarRv
CATTECH	Catt
CCD Astronomy	CCDA
CEGB Research	CEGB
Celestial Mechanics	CeMec
Celestial Mechanics and Dynamical Astronomy	CeMDA
Cellulose	Cellu
Center for Astrophysics Cambridge Mass Preprint Series	CfAPr
Central European Journal of Physics	CEJPh
Centre de Physique des Houches	CPH
Ceskoslovensky Casopis pro Fyziku Sekce	CCpFS
CFD Advances Applications	CFDAA
Chandra News	ChNew
Chaos	Chaos
Chaos Solitons and Fractals	CSF
Chemical Communications	ChCom
Chemical Educator	ChEdu
Chemical Engineering Communications	ChEnC
Chemical Engineering News	ChEnN
Chemical Engineering Research & Design. Part A, Transactions of the Institution of Chemical Engineers	CERDA
Chemical Engineering Science	ChEnS
Chemical Geology	ChGeo
Chemical Physics	ChPh
Chemical Physics Letters	CPL
Chemical Physics of Solid Surfaces	CPSS
Chemical Physics of Solid Surfaces and Heterogeneous Catalysis	CPSSH
Chemical Physics Reports	CPR
Chemical Society Reviews	ChSRv
Chemie der Erde / Geochemistry	ChEG
Chemistry A European Journal	CEJ
Chemistry and Physics of Carbon	CPCar
Chemistry and Physics of Lipids	CPLip
Chile Universidad Departamento de Astronomia Publicaciones	ChUDA
China Rept Sci Technol JPRS CST	ChRST
Chinese Astronomy and Astrophysics	ChA&A
Chinese Institute of Engineers Journal	ChIEJ
Chinese Journal of Aeronautics	ChJA
Chinese Journal of Astronony and Astrophysics	ChJAA
Chinese Journal of Chemical Physics	ChJCP
Chinese Journal of Geophysics	ChJG
Chinese Journal of Infrared Research	ChJIR
Chinese Journal of Lasers	ChJL
Chinese Journal of Low Temperature Physics	CJLTP
Chinese Journal of Nuclear Physics	ChJNP
Chinese Journal of Physics	ChJPh
Chinese Journal of Semiconductors	ChJS
Chinese Journal of Space Science	ChJSS
Chinese Physics	ChPhy
Chinese Physics Letter	ChPhL
Chinese Science Bulletin	ChSBu
Chinese Society of Astronautics Journal	ChSAJ
Chinese Society of Mechanical Engineers Journal	ChSMJ
Chinese Space Science Technology	ChSST
Chislennye Metody Dinamike Razrezhennykh Gazov	CMDRG
CHOCS	CHOCS
Chubu Institute Technology Memoirs	CITM
CIDA	CIDA
Ciel et Espace	C&E
Ciel et Terre	C&T
Ciencias de la Tierra y del Espacio	CTE
Circolare Interna della Sezione Stelle Variabili dell'Unione Astrofili Italiani	CiSSV
Circuit World	CirW
Circuits Systems and Signal Processing	CSSP
Circulaire de l'Association Francaise d'Observateurs d'Etoiles Variables	CAFOE
Circular of the British Astronomical Association	CiBAA
Circular of the Union Observatory Johannesburg	CiUO
Classical and Quantum Gravity	CQGra
Classical and Quantum Gravity Supplement	CQGrS
Classical Reviews in Mathematics and Mathematical Physics	CRMMP
Classical Theoretical Physics	CTPhy
Climate Dynamics	ClDy
Climate of the Past	CliPa
Climate of the Past Discussions	CliPD
Clinical Oral Implants Research	COIR
Clinical Physics and Physiological Measurement	CPPM
CNR Aeritalia S	CNRAe
CODATA Bulletin	CODAB
Coelum Periodico Bimestrale per la Divulgazione dell'Astronomia	Coel
Collection of Papers on Aerospace Science	AeSc
Colloid Journal	ColJ
Colloids and Surfaces	ColSu
Combinatorics, Probability and Computing	CPC
Combustion and Flame	CoFl
Combustion Science and Technology	CST
Combustion Theory Modelling	CTM
Commentationes Physico-Mathematicae et Chemico-Medicae	CPMCM
Comments in Modern Physics	ComMP
Comments on Astrophysics	ComAp
Comments on Astrophysics and Space Physics	CoASP
Commercial Space	ComSp
Commmunications of the Konkoly Observatory Hungary	CoKon
Communication Broadcasting	ComBr
Communication in Statistics - Simulation and Computation	CoSSC
Communication in Statistics - Theory and Methods	CoSTM
The Communication Review	ComRv
Communications de l'Observatoire Royal de Belgique	CoORB
Communications du Departement d'Astrophysique de la Faculte des Sciences de Mons Mons Astrophysical Papers	MonAP
Communications from the David Dunlap Observatory	CoDDO
Communications from the Radcliffe Observatory Pretoria South Africa	CoRad
Communications from the Royal Observatory Edinburgh	CoROE
Communications from the University Observatory Oxford	CoOxf
Communications from the University Observatory St Andrews Scotland	CoStA
Communications Gillies Inc Electronic Systems in Transportation	CEST
Communications in Algebra	CoAlg
Communications in Applied Numerical Methods	CANM
Communications in Asteroseismology	CoAst
Communications in Mathematical Physics	CMaPh
Communications in Nonlinear Science and Numerical Simulations	CNSNS
Communications in Numerical Methods in Engineering	CNME
Communications in Partial Differential Equations	CoPDE
Communications in Pure Applied Mathematics	CPAM
Communications in Theoretical Physics	CoTPh
Communications of the Department of Astronomy of Ankara University	CoAnk
Communications of the Lunar and Planetary Laboratory	CoLPL
Communications of the University of London Observatory	CoLon
Communications on Physics	CPhy
Communications Research Laboratory Journal	CRLJ
Communications Research Laboratory Review	CRLRv
Communications Society	ComSo
COMPEL: The International Journal for Computation and Mathematics in Electrical and Electronic Engineering	Compe
Complex Variables	CoVar
Composite Structures	CmpSt
Composites	Compo
Composites Engineering	CmpEn
Composites Manufacturing	CmpMa
Composites Science Technology	ComST
Compositio Mathematica	CoMat
Compte Rendu des Seances de la Societe de Physique et d'Histoire Naturelle de Genere	CRSPH
Comptes Rendus Academie des Sciences (serie non specifiee)	CR
Comptes Rendus de l'Academie Bulgare des Sciences	CRABS
Computational and Applied Mathematical Physics	CAMP
Computational Mathematics and Mathematical Physics	CMMPh
Computational Mechanics	CompM
Computational Optimization and Applications	COA
Computational Structural Mechanics and Applications	CSMA
Computer	Comp
Computer Graphics Image Processing	CGIP
The Computer Journal	CompJ
Computer Methods in Applied Mechanics and Engineering	CMAME
Computer Physics Communications	CoPhC
Computer Physics Reports	CoPhR
Computer Science Education	CSEd
Computer Speech & Language	CS&L
Computer Vision and Image Understanding	CVIU
Computer Vision Graphics and Image Processing	CVGIP
Computer-Aided Design	CAD
Computers and Biomedical Research	CBR
Computers and Electrical Engineering	CEE
Computers and Fluids	CF
Computers and Geosciences	CG
Computers and Mathematics with Applications	CMwA
Computers and Structures	CoStr
Computers in Physics	ComPh
Computing	Compu
Computing Systems in Engineering	ComSE
COMSAT Technical Review	COMTR
Comunicacoes do Observatonio Astronomico da Universidade de Coimbra	CoCoi
Conformal Geometry and Dynamics of the American Mathematical Society	CGDAM
Connaissance des Temps	CDT
Connection Science	ConSc
Consiglio Nazionale delle Ricerche Italia. Laboratorio di Astrofisica Frascati Roma Contributi	CoFra
Contemporary Concepts in Physics	ConCP
Contemporary Fundamental Physics	ConFP
Contemporary Physics	ConPh
Continental Shelf Research	CSR
Continuum Mechanics and Thermodynamics	CMT
Contributions de l'Institut d'Astrophysique de Paris Serie A	CoIAP
Contributions de l'Institut d'Astrophysique de Paris Serie B	CoIAB
Contributions dell'Osservatorio Astrofisica dell'Universita di Padova in Asiago	CoAsi
Contributions dell'Osservatorio Astrononia di Milano-Merate	CoMil
Contributions from the Armagh Observatory	CoArm
Contributions from the Astronomical Department of the University of Thessaloniki	CoThe
Contributions from the Bosscha Observervatory	CoBos
Contributions from the Cambridge Observatory England	CoCam
Contributions from the Cerro Tololo Inter-American Observatory	CoTol
Contributions from the Department of Astronomy University of Tokyo	CoTok
Contributions from the Dominion Astrophysical Observatory in Victoria	CoDAO
Contributions from the Dunsink Observatory Dublin Ireland	CoDun
Contributions from the Institute of Astrophysics and Kwasan Observatory Kyoto	CoKyo
Contributions from the Kitt Peak National Observatory	CoKit
Contributions from the Kwasan and Hida Observatories University of Kyoto	CoKwa
Contributions from the Laboratory of Astronomy - University of Ioannina Greece	CoIoa
Contributions from the McDonald Observatory University of Texas Fort Davis	CoMcD
Contributions from the Mount Wilson Observatory / Carnegie Institution of Washington	CMWCI
Contributions from the Princeton University Observatory	CoPri
Contributions from the Research and Computing Center Academy of Sciences of Athens Series I Astronomy	CoAth
Contributions from the Rutherford Observatory of Columbia University New York	CoRut
Contributions from the Washburn Observatory of the University of Wisconsin	CoWas
Contributions from the Wroclaw Astronomical Observatory	CoWro
Contributions of the Astronomical Observatory Skalnate Pleso	CoSka
Contributions of the Astronomical Observatory Skalnate Pleso Letters	CoSkL
Contributions of the Astronomical Observatory Skalnate Pleso Supplement	CoSkS
Contributions of the Louisiana State University Observatory Baton Rouge Louisiana	CoLou
Contributions of the Observatory of New Mexico State University Las Cruces New Mexico	CoNMx
Contributions of the Public Observatory and Planetarium in Brno	CoBrn
Contributions of the Slovak Academy Sciences Geophysical Institute	CSASG
Contributions of the University of Waterloo Observatory	CoWat
Contributions of the Van Vleck Observatory	CoVVO
Contributions of Lick Observatory	CoLic
Contributions of Lick Observatory, Series II	CLic2
Contributions of Perkins Observatory	CoPer
Contributions to Mineralogy and Petrology	CoMP
Contributions to Plasma Physics	CoPP
Contributions Universite Catholique de Louvain	CoUCL
Contributions University of Arizona Steward Observatory Tucson Arizona	CoSte
Contributions University of Florida Rosemary Hill Observatory Gainesville	CoRHO
Control and Computers	CoCom
Copenhagen University Observatory Reprints	CopRe
Cordoba Durchmusterung	CorD
Cosmic Research	CosRe
Cosmic Search Summer	CosSe
Course of Theoretical Physics	CTP
C.R. Acad. Sci. Ser. B1	CRB
Cracow Observatory Reprints	CraRe
Critical Reviews in Solid State & Materials Sciences	CRSSM
Cryogenics	Cryo
Crystallography Reports	CryRp
Current Applied Physics	CAP
Current Contents Physical Chemical and Earth Sciences	CCPCE
Current Eye Research	CEyeR
Current Science	CSci
Cybernetics and Systems	CySys
Czechoslovak Journal of Physics	CzJPh
Czechoslovak Journal of Physics B	CzJPB
Czechoslovak Mathematical Journal	CzMJ
Dalton Transactions	DTr
David Dunlap Observatory Richmond Hill Reprints	DDORe
Dearborn Observatory Contributions	DeaCo
Deep Sea Research Part II: Topical Studies in Oceanography	DSR
Deep Space Network Progress Report	DSNPR
Defektoskopiia	Defek
Defense Electronics	DefEl
Defense Management Journal	DMJ
Defense Science Electronics	DeScE
Defense Science Journal	DSJ
Defense Systems Review Military Communications	DSRMC
Delta Scuti Star Newsletter	DSSN
Der Sternenbote Monatsschrift fuer Oesterreichs Amateur-astronomen	Sterb
Deutsche Geodaetische Kommission Gravity Network West Germany DSGN Data Adjustment	DGKGN
Deutsche Hydrographische Zeitschrift	DeHyZ
Deutsche Physikalische Gesellschaft	DPhyG
Developments in Solid Earth Geophysics	DSEG
DFVLR	DFVLR
Diamond And Related Materials	DRM
Differentsial nye Uravneniia	DnU
Digital Signal Processing	DSP
Dimensions	Dimen
Dinamicheskie Sistemy	DiSis
Dinamika i Prochnost Mashin	DPM
Dinamika razrezhennykh gazov	DiRaG
DIO	DIO
Directions in Condensed Matter Physics	DCMP
DISA Information	DISA
Discover	Disc
Display Imaging Technology	DImTe
Displays	Displ
Distributed Systems Engineering	DSE
DLGR Magnetofluiddyn	DLGRM
D-Lib Magazine	Dlib
DLR Nachrichten	DLRNa
Documentation des Observateurs Circulaire	DOCi
Documentation des Observateurs Institut d'Astrophysique de Paris	DOIAP
Doklady Akad Nauk Minerologia USSR	DokAN
Doklady Physical Chemistry	DokPC
Dominion Astrophysical Observatory Annual Report	DAOAR
Dornier Post	DorPo
Dudley Observatory Reports	DudOR
Dun Echt Observatory Publications	PODE
Dunsink Observatory Publications	DunOP
Dunsink Observatory Reprints	DunRe
Durham Observatory Observations	DurOO
Dushanbe Izdatel Donish	IzDus
Dyer Observatory Reprints	DyeRe
Dynamical Systems: An International Journal	DySys
Dynamics and Control	DynCo
Dynamics and Stability of Systems	DSSys
Dynamics of Atmospheres and Oceans	DyAtO
Earth and Evolution Sciences	EaEvS
Earth and Extraterrestrial Sciences	EExSc
Earth and Planetary Science Letters	E&PSL
Earth and Space	E&S
Earth Moon and Planets	EM&P
Earth, Planets, and Space	EP&S
Earth Science Reviews	ESRv
Earth Surface Processes and Landforms	ESPL
Earth-Oriented Applications and Space Technology	EOAST
East Europe Rept Sci Affairs JPRS	EERSA
East European Rept Sci. Technol. JPRS ESA	EERST
Eclipsing Binaries Circulars	EBCi
Eesti NSV Teaduste Akadeemia Toimetised Fuusika Matemaatika	ETATF
Ege University Izmir Publications of the Department of Astronomy	IzmP
Elastic	Elast
Electric Machines and Power Systems	EMPS
Electrical Communication Laboratories Review	ECLRv
Electrical Engineering of Japan	JElEn
Electro Optical Systems Design	EOSD
Electromagnetics	Elecm
Electronic Journal of Science Education	EJSEd
Electronic Journal of Theoretical Physics	EJTP
Electronic Progress	ElPro
Electronics Communications of Japan	JElCo
Electronics Letters	ElL
Electronics Power	ElP
Electrotechnical Laboratory Circulars	ElLC
Electrotechnical Laboratory Researches	ElLR
Elektrische Bahnen	ElBah
Elektromashinostroenie i Elektrooborudovanie	E&E
Elektromekhanika	Elem
Elektronika	Elek
Elektronnaia Tekhnika Avtomatike	ElTA
Elektronnoe Modelirovanie	ElMod
Elektrosviaz Telecommunications Radio Engineering Telecommunications	ETRE
Elektrotechnik und Maschinenbau	E&M
Elektrotehniski Vestnik	EVest
The EMBO Journal	EMBO
EMC Technology	EMCT
Emerging Biochemical and Biophysical Techniques	EBBT
Encyclopedia of Astronomy and Astrophysics	EAA
Endeavour	Endvr
Energetika	Energ
Energia es Atomtechnika	EnAt
Energy Conversion	EnC
Energy Conversion Management	ECM
Energy Sources	EnS
Energy Technology Review	EnTR
Energy UK	EnUK
Engineering Analysis	EngAn
Engineering Computations	EngCo
Engineering Fracture Mechanics	EnFM
Engineering Optimization	EnOp
Engineering Thermophysics China	CEnTp
Entropie	Entro
Environmental Analytical and Physical Chemistry Series	EnAPC
Environmental Engineering	EnEng
Environmental Pollution Series B Chemical and Physical	EnP
Environmental Science Technology	EnST
Environmental Toxicology	EnTox
Environmental Toxicology and Water Quality	ETWQ
Environmentrics	Env
EOS Transactions	EOSTr
EPRI Journal	EPRIJ
Ergaenzungshefte zu den Astronomischen Nachrichten	AnErg
Ergodic Theory and Dynamical Systems	ETDS
Ergonomics	Ergo
ESA Bulletin	ESABu
ESA Journal	ESAJ
ESA Scientific Technical Review	ESAST
Essays in Physics	EssPh
Estuarine Coastal and Shelf Science	ECSS
Europe Report Science Technology	ERST
European Biophysics Journal	EBioJ
European Journal of Applied Mathematics	EJAM
European Journal of Biochemistry	EJBio
European Journal of Combinatorics	EJC
European Journal of Engineering Education	EJEE
European Journal of Mechanics B Fluids	EJMF
European Journal of Mechanics Solids	EJMS
European Journal of Physics	EJPh
European Physical Journal A	EPJA
European Physical Journal Applied Physics	EPJAP
European Physical Journal B	EPJB
European Physical Journal C	EPJC
European Physical Journal D	EPJD
European Physical Journal E	EPJE
European Review	EuRv
European Science Notes	ESN
European Southern Observatory Annual Reports	ESOAR
European Southern Observatory ESO Bulletin	ESOB
European Southern Observatory Scientific Preprints	ESOSP
European Southern Observatory Scientific Report	ESOSR
European Transactions Telecommunications Related Technologies	ETTRT
Europhysics Letters	EL
EXOSAT Express	EXOSA
Experimental Astronomy	ExA
Experimental Eye Research	EEyeR
Experimental Heat Transfer	ExHT
Experimental Mechanics	ExM
Experimental Methods in the Physical Sciences	ExMPS
Experimental Techniques	ExT
Experimental Thermal Fluid Science	ExTFS
Experiments in Fluids	ExFl
Extraction	Extr
Facultad de Humanidades y Ciencias Universidad de la Republica Montevideo	PMtv
Faraday Transactions	FaTr
Fatigue and Fracture of Engineering Materials and Structures	FFEMS
Feinwerktechnik und Messtechnik	F&M
Ferroelectrics	Fer
Ferroelectrics Letters Section	FerLS
Few-Body Systems	FBS
Fiber and Integrated Optics	FiIO
Fiber Integrated Optics	FIOpt
Finommechanika Mikrotechnika	FeMik
First Break	FiBr
Fizicheskaia Elektronika	FizEl
Fizicheskaia Mekhanika	FiMek
Fizika	Fiz
Fizika A	FizA
Fizika Aerodispersnykh Sistem	FizAS
Fizika B	FizB
Fizika Goreniia i Vzryva	FizGV
Fizika i Khimiia Obrabotki Materialov	FizKO
Fizika i Tekhnika Vysokikh Davlenii	FizTV
Fizika Metallov i Metallovedenie	FizMM
Fizika Mnogochastichnykh Sistem	FizMS
Fizika Nizkikh Temperatur	FizNT
Fizika Plazmy	FizPl
Fizika Tverdogo Tela	FizTT
Fizika Zhidkogo Sostoianiia	FizZS
Fiziki Atmosfery	FizAt
Fiziko Khimicheskaia Mekhanika Materialov	FizKM
Fizyki i Chemii Seria Fizyka	FizCh
Flight International	FliIn
Flower and Cook Observatory Reprints	F&CRe
Fluctuation and Noise Letters	FNL
Flug Revue Flugwelt International	FRFI
Fluid Dynamics	FlDy
Fluid Dynamics Research	FlDyR
Fluid Dynamics Transactions	FlDyT
Fluid Mechanics of Astrophysics and Geophysics	FMAG
Fluid Mechanics Soviet Research	FlMSR
Fluidika	Fluid
Fluids Quarterly	FluQ
Food and Bioproducts Processing. Part C, Transactions of the Institution of Chemical Engineers	FBP
Forschung im Ingenieurwesen	F&I
Forschung im Ingenieurwesen Engineering Research	F&IER
Fotointerpretacja w Geografii	FoGeo
Foundations of Physics	FoPh
Foundations of Physics Letters	FPhL
Franklin Institute Journal	FrInJ
Frequenz	Freq
Frontiers in Physics	FrPhy
Frontiers in Physics in China	FrPhC
Frunze Izdatel Ilim	IzFru
Fujitsu Scientific Technical Journal	FSTJ
Fullerene Science and Technology	FST
Functional Analysis and Its Applications	FAAp
Functiones et Approximatio Commentarii Mathematici	FACM
Fundamenta Informaticae	FInfo
Fundamental and Applied Nuclear Physics Series	FANP
Fundamental nye Osnovy Opticheskoi Pamiati i Sredy	OOPS
Fundamental Theories of Physics	FTP
Fundamentals of Cosmic Physics	FCPh
Future Spring	Futur
Galactic Center Newsletter	GCNew
Games and Economic Behavior	GEB
Gauthier-Villars Paris Observatory Observations	GVPOO
Gazodinamika i Teploobmen	GazT
GEC Journal Research	GECJR
Geliotekhnika	Gelio
GEMINI Newsletter Royal Greenwich Observatory	Gemin
General History of Astronomy	GHA
General Physiology AND Biophysics	GPB
General Relativity and Gravitation	GReGr
Genetica	Gen
Geocarto International	GeoIn
Geochemical Journal	GeocJ
Geochemistry	Geoch
Geochemistry, Geophysics, Geosystems	GGG
Geochimica et Cosmochimica Acta	GeCoA
Geochimica et Cosmochimica Acta Supplement	GeCAS
Geodeziia i Aerofotos	GeAer
Geodeziia i Kartografiia	GeKar
Geodeziia Kartografiia i Aerofotos	GeKaA
Geodezja i Kartografia	GeoK
Geodinamica Acta	AcGeo
Geofizicheskii Sbornik	GeoSb
Geofizicheskii Zhurnal	GeoZh
Geografiska Annaler, Series A: Physical Geography	GeoAA
Geografiska Annaler, Series B: Human Geography	GeoAB
Geokhimiia	Geokh
Geological Journal	GeolJ
Geological Magazine	GeoM
Geological Society Journal	GeoSJ
Geological Society of America Bulletin	GSAMB
Geological Society of America Memoir	GSAMm
Geology	Geo
Geomagnetizm i Aeronomiia	Ge&Ae
Geomagnitnye Issledovaniia	GeoIs
Geo-Marine Letters	GML
Geometriae Dedicata	GeoD
Geomicrobiology Journal	GeomJ
Geomorphology	Geomo
Geophysica	Geoph
Geophysica et Geodaetica	GeGe
Geophysica Norvegica	GeoNr
Geophysical and Astrophysical Fluid Dynamics	GApFD
Geophysical Developments Series	GDS
Geophysical Journal	GeoJ
Geophysical Journal International	GeoJI
Geophysical Prospecting	GeopP
Geophysical References	GeopR
Geophysical Research Letters	GeoRL
Geophysical Surveys	GeoSu
Geophysics	Geop
Geophysics and Astrophysics Monographs	GAM
Georgetown Observatory Monogram	GeoOM
Georgetown Observatory Reprints	GeoRe
GEOS Circular on Eclipsing Binaries	GEOSC
GEOS Note Circulaire	GEOSN
Geothermal Resources Council Transactions	TrGRC
Geothermics	Geoth
Geotimes	Geot
Gerlands Beitraege zur Geophysik	GBzG
Geschichte und Lichtwechsel der Veraenderlichen Sterne (Potsdam)	GUL
Gesellschaft Aerosolforschung Tagung ueber Aerosole Naturwissenschaft Medizin und Technik Messtechnik und technische Anwendung	GATAN
Gesellschaft angewandte Mathematik und Mechanik Jahrestagung Goettingen West Germany Zeitschrift Flugwissenschaften	GMMWJ
Gesellschaft Angewandte Mathematik und Mechanik Workshop Paris France	GaMuM
Gesellschaft Mathematik und Datenverarbeitung mbH Multigrid Methods Special Topics Applications	GMuD
Gibridnye Vychislitel nye Mashiny i Kompleksy	GVMK
Gidromekhanika	Gidro
Gidroprivod i Gidropnevmoavtomatika	GiGi
Gigiena i Sanitariia	GiSan
Gigiena Truda i Professional nye Zabolevaniia	GTPZ
Glasgow Mathematical Journal	GlMaJ
Global and Planetary Change	GPC
Global Biogeochemical Cycles	GBioC
Goethe Link Observatory Reprints	GLORe
GPS World	GPSW
Graphical Models and Image Processing	GMIP
Gravitatsiia i Teoriia Otnositel nosti	GrTOn
GRB Coordinates Network	GCN
Griffith Observer	GriO
Grumman Aerospace Horizons	GrAeH
Gruppo Italiano RV Tauri Circolare	GICi
Hale Observatories Reprints	HalRe
Hamburger Sternw. Warner & Swasey Obs.	LS
Hamburger Sternwarte Bergedorf	BSD
Hamburger Sternwarte Sonderdrucke	HamS
Handbook of Astronomy Astrophysics and Geophysics	HAAG
Handbook of Biological Physics	HBP
Handbook of Geophysical Exploration	HGE
Handbook of Plasma Physics	HPlPh
Handbook on the Physics and Chemistry of Rare Earths	HPCRE
Handbuch der Astrophysik	HDA
Handbuch der Physik	HDP
Harthaer Beobachtungs-Zirkular	HarZi
Harvard College Observatory Announcement Card	HarAC
Harvard College Observatory Annual Report	HarAR
Harvard College Observatory Bulletin	BHarO
Harvard College Observatory Circular	HarCi
Harvard College Observatory Papers	HarPa
Harvard College Observatory Reprints	HarRe
Health Physics	HeaPh
Heat and Mass Transfer	HMT
Heat Transfer Engineering	HTrEn
Heat Transfer Japanese Research	HTJR
Heat Transfer Soviet Research	HTSR
Helgoland Marine Research	HMR
Helvetica Chimica Acta	AcHCh
Helvetica Physica Acta	AcHPh
Helwan Institute of Astronomy and Geophysics Bulletins	HelOB
Hemel en Dampkring	HemD
High Energy Chemistry	HECh
High Energy Physics and Nuclear Physics	HEPNP
High Performance Polymers	HPP
High Pressure Research	HPR
High Technology	HiTec
High Temperature Science	HTemS
High Temperatures and High Pressures	HTHP
Highlights of Astronomy	HiA
Historical Studies in the Physical and Biological Sciences	HSPBS
History of Geophysics	HGeo
Hokkaido University Faculty Engineering Bulletin	HUFEB
Hokkaido University Faculty Engineering Memoirs	HUFEM
Holzforschung	Holz
Horizons in Biochemistry and Biophysics	HBB
Horizons in World Physics	HWP
La Houille Blanche	LHBl
Hovering Craft and Hydrofoil	HCHy
Human Gene Therapy	HGT
Hvar Observatory Bulletin	HvaOB
Hydrogeology Journal	HydJ
Hydrological Processes	HyPr
Hydrology and Earth System Sciences	HESS
Hydrology and Earth System Sciences Discussions	HESSD
Hyperfine Interactions	HyInt
Iadernaia Energiia	IadEn
Iakutsk Iakutskii Filial SO AN SSSR	IaIaF
Iasi Institutul Politehnic Buletinul Sectia Electrotehnica Electronica Automatizari	BSEEA
